,image_file,seen_data_numeric,size_used,closing_ssd,closing_eng,otsu_ssd,otsu_eng,gaus_ssd,gaus_eng,thresh_eng,thresh_ssd
0,['.\\sipaimages\\3\\18.jpg'],30.23,52,,,1.3,,9.3,0,3.0,1.1
0,['.\\sipaimages\\3\\19.jpg'],3.76,52,,,116,376,176,376,,176.0
0,['.\\sipaimages\\3\\2.jpg'],30.31,52,7,,131,23,31,,,331.0
0,['.\\sipaimages\\3\\20.jpg'],30.23,52,1,,12,,141,3,,1.0
0,['.\\sipaimages\\3\\21.jpg'],33.99,52,,,11,,141,,,11.0
0,['.\\sipaimages\\3\\22.jpg'],3.75,52,,,1,,101,3,,6.0
0,['.\\sipaimages\\3\\23.jpg'],30.23,52,144,['.'],1.3,,10.23,2,0.2,11.21
0,['.\\sipaimages\\3\\24.jpg'],30.24,52,14,,114,0,114,4,0.0,114.0
0,['.\\sipaimages\\3\\25.jpg'],33.99,52,11,,,,11,,0.0,1194.0
0,['.\\sipaimages\\3\\26.jpg'],3.75,52,,,316,3,316,375,3.0,16.0
0,['.\\sipaimages\\3\\3.jpg'],13.04,52,1,,144,1304,134,134,1304.0,1344.0
0,['.\\sipaimages\\3\\4.jpg'],13.05,52,1,,,,,,1345.0,16.0
0,['.\\sipaimages\\3\\5.jpg'],30.3,52,71,,1,,11,2,5.0,931.0
0,['.\\sipaimages\\3\\6.jpg'],13.04,52,0,,164,1,,,,11.0
0,['.\\sipaimages\\3\\7.jpg'],13.04,52,,,14,130,134,1304,130.0,14.0
0,['.\\sipaimages\\3\\8.jpg'],30.31,52,7,,11,2,31,4,3.0,1111.0
0,['.\\sipaimages\\3\\9.jpg'],13.04,52,,,14,1304,144,130,1304.0,14.0
0,['.\\sipaimages\\3\\1.jpg'],30.31,53,7,,11,['.'],111,['.'],,1111.0
0,['.\\sipaimages\\3\\10.jpg'],13.05,53,6,,136,1345,,,1305.0,1346.0
0,['.\\sipaimages\\3\\11.jpg'],20.59,53,7,,9,2,29,9,0.0,15.0
0,['.\\sipaimages\\3\\12.jpg'],13.05,53,11,,10,1305,106,1305,1305.0,135.0
0,['.\\sipaimages\\3\\13.jpg'],30.31,53,,,931,31,331,3,,41.0
0,['.\\sipaimages\\3\\14.jpg'],13.04,53,12,,1.4,134,1304,1304,130.0,13.4
0,['.\\sipaimages\\3\\15.jpg'],30.24,53,114,,1,0,1,0,0.0,1.0
0,['.\\sipaimages\\3\\16.jpg'],13.04,53,1,,104,1304,104,1304,1304.0,1304.0
0,['.\\sipaimages\\3\\17.jpg'],13.03,53,1.0,,133,1303,13,1303,13.03,1309.0
0,['.\\sipaimages\\3\\18.jpg'],30.23,53,6,['.'],1.23,,1.23,3,0.0,1.0
0,['.\\sipaimages\\3\\19.jpg'],3.76,53,,,1.16,376,11,376,376.0,11.0
0,['.\\sipaimages\\3\\2.jpg'],30.31,53,71,,1,3,331,3,3.0,331.0
0,['.\\sipaimages\\3\\20.jpg'],30.23,53,,,121,,14,2,2.0,21.0
0,['.\\sipaimages\\3\\21.jpg'],33.99,53,,,10,,1611,,,6.0
0,['.\\sipaimages\\3\\22.jpg'],3.75,53,,,1,1,116,15,5.0,15.0
0,['.\\sipaimages\\3\\23.jpg'],30.23,53,,,11.1,2,1.13,3,2.0,114.0
0,['.\\sipaimages\\3\\24.jpg'],30.24,53,2,['.'],114,0,114,,0.0,114.0
0,['.\\sipaimages\\3\\25.jpg'],33.99,53,1141,,1,9,11,9,8.0,99.0
0,['.\\sipaimages\\3\\26.jpg'],3.75,53,,,316,3,16,75,3.0,19.0
0,['.\\sipaimages\\3\\3.jpg'],13.04,53,,,134,,2,134,1304.0,1304.0
0,['.\\sipaimages\\3\\4.jpg'],13.05,53,1,,,,,,,106.0
0,['.\\sipaimages\\3\\5.jpg'],30.3,53,7,,99,5,1,1,5.0,31.0
0,['.\\sipaimages\\3\\6.jpg'],13.04,53,14,,14,104,10,1,4.0,14.0
0,['.\\sipaimages\\3\\7.jpg'],13.04,53,,,144,134,144,1304,1304.0,1.04
0,['.\\sipaimages\\3\\8.jpg'],30.31,53,7,,1,3,31,31,,11.0
0,['.\\sipaimages\\3\\9.jpg'],13.04,53,18,,14,134,134,130,1304.0,14.0
0,['.\\sipaimages\\3\\1.jpg'],30.31,54,7,,31,3,11,,3.0,3131.0
0,['.\\sipaimages\\3\\10.jpg'],13.05,54,,,16,135,,,1305.0,13.06
0,['.\\sipaimages\\3\\11.jpg'],20.59,54,1,,17,8,1,9,0.0,1.0
0,['.\\sipaimages\\3\\12.jpg'],13.05,54,62,,10,1305,108,1305,1305.0,13.05
0,['.\\sipaimages\\3\\13.jpg'],30.31,54,,,1,24,331,3,3031.0,30.31
0,['.\\sipaimages\\3\\14.jpg'],13.04,54,1.2,['.'],14,134,134,1304,13.04,13.04
0,['.\\sipaimages\\3\\15.jpg'],30.24,54,14,,1,0,1,0,,11.0
0,['.\\sipaimages\\3\\16.jpg'],13.04,54,,,104,130,14,1304,1304.0,13.04
0,['.\\sipaimages\\3\\17.jpg'],13.03,54,,,13,1303,13,1303,13.03,13.09
0,['.\\sipaimages\\3\\18.jpg'],30.23,54,,,41,,41,,3.0,0.8
0,['.\\sipaimages\\3\\19.jpg'],3.76,54,,,11,376,176,3,376.0,101.0
0,['.\\sipaimages\\3\\2.jpg'],30.31,54,7,,31,,331,['.'],3.0,31.0
0,['.\\sipaimages\\3\\20.jpg'],30.23,54,,,421,42,2,0,,11.0
0,['.\\sipaimages\\3\\21.jpg'],33.99,54,,,1,,11,,,11.0
0,['.\\sipaimages\\3\\22.jpg'],3.75,54,,,15,4,11,375,,6.0
0,['.\\sipaimages\\3\\23.jpg'],30.23,54,,,14,0.2,11.29,0.2,0.2,10.27
0,['.\\sipaimages\\3\\24.jpg'],30.24,54,162,,114,,114,4,,114.0
0,['.\\sipaimages\\3\\25.jpg'],33.99,54,11,,9,49,1,4,49.0,9.0
0,['.\\sipaimages\\3\\26.jpg'],3.75,54,,,,,916,3,,1.0
0,['.\\sipaimages\\3\\3.jpg'],13.04,54,,,134,130,1444,1304,13.04,13.04
0,['.\\sipaimages\\3\\4.jpg'],13.05,54,711,,,,,,,16.0
0,['.\\sipaimages\\3\\5.jpg'],30.3,54,1,,11,5,1,,,111.0
0,['.\\sipaimages\\3\\6.jpg'],13.04,54,14,,1,4,100,1,0.0,11.0
0,['.\\sipaimages\\3\\7.jpg'],13.04,54,,,104,1304,104,1304,1304.0,1.04
0,['.\\sipaimages\\3\\8.jpg'],30.31,54,7,,31,3,31,23,3.0,3031.0
0,['.\\sipaimages\\3\\9.jpg'],13.04,54,,,1.4,1304,134,,1304.0,14.0
0,['.\\sipaimages\\3\\1.jpg'],30.31,55,71,,31,3,33,,3.0,11.0
0,['.\\sipaimages\\3\\10.jpg'],13.05,55,114,,146,1345,10,1305,1305.0,13.06
0,['.\\sipaimages\\3\\11.jpg'],20.59,55,,,617,0,19,0,8.0,111.0
0,['.\\sipaimages\\3\\12.jpg'],13.05,55,16,['..'],10,1305,10,1305,1305.0,13.06
0,['.\\sipaimages\\3\\13.jpg'],30.31,55,,,301,3,331,,31.0,30.31
0,['.\\sipaimages\\3\\14.jpg'],13.04,55,,,134,1304,134,1304,1304.0,13.04
0,['.\\sipaimages\\3\\15.jpg'],30.24,55,14,,11,7,1,0,0.0,10.0
0,['.\\sipaimages\\3\\16.jpg'],13.04,55,,,14,1304,14,1304,1304.0,13.04
0,['.\\sipaimages\\3\\17.jpg'],13.03,55,14,,143,1303,143,1303,13.03,13.03
0,['.\\sipaimages\\3\\18.jpg'],30.23,55,,,41,,1123,,0.0,7.3
0,['.\\sipaimages\\3\\19.jpg'],3.76,55,,,118,376,11,376,376.0,176.0
0,['.\\sipaimages\\3\\2.jpg'],30.31,55,7,,31,3,31,,3.0,91.0
0,['.\\sipaimages\\3\\20.jpg'],30.23,55,,,41,,14,0,22.0,21.0
0,['.\\sipaimages\\3\\21.jpg'],33.99,55,,,191,,111,,,191.0
0,['.\\sipaimages\\3\\22.jpg'],3.75,55,,,19,4,11,5,,16.0
0,['.\\sipaimages\\3\\23.jpg'],30.23,55,,,10.27,3022,1.19,30.23,3022.0,14.0
0,['.\\sipaimages\\3\\24.jpg'],30.24,55,,,114,0,114,4,0.0,14.0
0,['.\\sipaimages\\3\\25.jpg'],33.99,55,141,,1,19,194,4,49.0,19.0
0,['.\\sipaimages\\3\\26.jpg'],3.75,55,,,,,18,17,1.0,15.0
0,['.\\sipaimages\\3\\3.jpg'],13.04,55,,,134,130,14,1304,13.04,13.04
0,['.\\sipaimages\\3\\4.jpg'],13.05,55,1,,,,,,305.0,1315.0
0,['.\\sipaimages\\3\\5.jpg'],30.3,55,16,,1,,141,,,1.0
0,['.\\sipaimages\\3\\6.jpg'],13.04,55,2,,,,4,,1304.0,13.14
0,['.\\sipaimages\\3\\7.jpg'],13.04,55,,,134,1304,1144,1304,1304.0,1.4
0,['.\\sipaimages\\3\\8.jpg'],30.31,55,7,,31,,31,,3.0,331.0
0,['.\\sipaimages\\3\\9.jpg'],13.04,55,,,1.4,134,134,1304,1304.0,14.0
0,['.\\sipaimages\\3\\1.jpg'],30.31,56,71,,31,,111,,0.0,1111.0
0,['.\\sipaimages\\3\\10.jpg'],13.05,56,,,1348,1308,1346,1305,1305.0,13.08
0,['.\\sipaimages\\3\\11.jpg'],20.59,56,7,,9,5,,,0.0,111.0
0,['.\\sipaimages\\3\\12.jpg'],13.05,56,,,14,1305,146,305,1305.0,1306.0
0,['.\\sipaimages\\3\\13.jpg'],30.31,56,,,1,0,1,3,3.0,30.31
0,['.\\sipaimages\\3\\14.jpg'],13.04,56,162,,1.4,1304,134,1304,1304.0,13.04
0,['.\\sipaimages\\3\\15.jpg'],30.24,56,114,,4,2,14,0,0.0,10.0
0,['.\\sipaimages\\3\\16.jpg'],13.04,56,,,144,1304,14,1304,13.04,13.04
0,['.\\sipaimages\\3\\17.jpg'],13.03,56,16.0,,113,1303,13,1303,13.03,13.08
0,['.\\sipaimages\\3\\18.jpg'],30.23,56,,,31.1,,10.2,,2.0,0.9
0,['.\\sipaimages\\3\\19.jpg'],3.76,56,,,11,376,176,37,376.0,176.0
0,['.\\sipaimages\\3\\2.jpg'],30.31,56,7,,331,3,331,1,3.0,30.1
0,['.\\sipaimages\\3\\20.jpg'],30.23,56,,,12,,141,2,,131.0
0,['.\\sipaimages\\3\\21.jpg'],33.99,56,,,11,,111,,,1.1
0,['.\\sipaimages\\3\\22.jpg'],3.75,56,,,16,375,116,,475.0,16.0
0,['.\\sipaimages\\3\\23.jpg'],30.23,56,,,4,2,11.29,0.3,0.2,1.21
0,['.\\sipaimages\\3\\24.jpg'],30.24,56,,,114,0,114,,0.0,114.0
0,['.\\sipaimages\\3\\25.jpg'],33.99,56,11,,9,19,1,19,19.0,9.0
0,['.\\sipaimages\\3\\26.jpg'],3.75,56,,,,,18,15,,35.0
0,['.\\sipaimages\\3\\3.jpg'],13.04,56,,,1304,1304,104,1304,1304.0,134.0
0,['.\\sipaimages\\3\\4.jpg'],13.05,56,71,,,,,,1305.0,1111.0
0,['.\\sipaimages\\3\\5.jpg'],30.3,56,1,,9,,1,,0.0,1.0
0,['.\\sipaimages\\3\\6.jpg'],13.04,56,74,,,,14,0,0.0,11.0
0,['.\\sipaimages\\3\\7.jpg'],13.04,56,,,14,1304,1304,1304,1304.0,1.04
0,['.\\sipaimages\\3\\8.jpg'],30.31,56,7,,331,3,1,,,30.31
0,['.\\sipaimages\\3\\9.jpg'],13.04,56,,,14,134,134,1304,134.0,14.0
0,['.\\sipaimages\\3\\1.jpg'],30.31,57,7,,31,3,11,['.'],,331.0
0,['.\\sipaimages\\3\\10.jpg'],13.05,57,,,108,1305,1146,1305,13.05,139.0
0,['.\\sipaimages\\3\\11.jpg'],20.59,57,0,,9,28,11,28,0.0,19.0
0,['.\\sipaimages\\3\\12.jpg'],13.05,57,,,10,1305,10,1305,130.0,13.06
0,['.\\sipaimages\\3\\13.jpg'],30.31,57,,,31,0,31,3,,30.31
0,['.\\sipaimages\\3\\14.jpg'],13.04,57,,,114,13,1304,130,13.04,13.04
0,['.\\sipaimages\\3\\15.jpg'],30.24,57,114,,4,0,14,0,0.0,11.0
0,['.\\sipaimages\\3\\16.jpg'],13.04,57,1,['.'],14,1304,14,1304,1304.0,1344.0
0,['.\\sipaimages\\3\\17.jpg'],13.03,57,,,113,1303,113,1303,13.03,13.08
0,['.\\sipaimages\\3\\18.jpg'],30.23,57,,,4,,4,,0.0,1.2
0,['.\\sipaimages\\3\\19.jpg'],3.76,57,,,118,376,176,376,376.0,76.0
0,['.\\sipaimages\\3\\2.jpg'],30.31,57,1,,331,3,1,3,0.0,31.0
0,['.\\sipaimages\\3\\20.jpg'],30.23,57,14,,1141,0,11,3,2.0,1.0
0,['.\\sipaimages\\3\\21.jpg'],33.99,57,,,64,,11.9,9,,64.0
0,['.\\sipaimages\\3\\22.jpg'],3.75,57,,,15,5,115,,5.0,1.0
0,['.\\sipaimages\\3\\23.jpg'],30.23,57,,,4,2,11,,0.0,10.21
0,['.\\sipaimages\\3\\24.jpg'],30.24,57,,,114,0,114,4,4.0,14.0
0,['.\\sipaimages\\3\\25.jpg'],33.99,57,14,,9,19,11,,19.0,1.0
0,['.\\sipaimages\\3\\26.jpg'],3.75,57,,,,,18,,,1.0
0,['.\\sipaimages\\3\\3.jpg'],13.04,57,,,134,1304,144,1,13.04,13.04
0,['.\\sipaimages\\3\\4.jpg'],13.05,57,1,,,,1948,1.329,1905.0,1110.0
0,['.\\sipaimages\\3\\5.jpg'],30.3,57,1,,11,5,111,,,11.0
0,['.\\sipaimages\\3\\6.jpg'],13.04,57,0,,11,4,4,1,0.0,11.0
0,['.\\sipaimages\\3\\7.jpg'],13.04,57,,,1344,1304,1144,1304,1304.0,13.4
0,['.\\sipaimages\\3\\8.jpg'],30.31,57,16.0,,31,0,31,,3.0,11.0
0,['.\\sipaimages\\3\\9.jpg'],13.04,57,41414,['.'],14,1304,144,130,1304.0,14.0
0,['.\\sipaimages\\3\\1.jpg'],30.31,58,7,,1,,,,,1.0
0,['.\\sipaimages\\3\\10.jpg'],13.05,58,,,108,1305,14,1305,13.05,136.0
0,['.\\sipaimages\\3\\11.jpg'],20.59,58,,,1,2,,,0.0,11.0
0,['.\\sipaimages\\3\\12.jpg'],13.05,58,,,108,1805,108,1805,1305.0,13.0
0,['.\\sipaimages\\3\\13.jpg'],30.31,58,,,31,,31,,303.0,30.31
0,['.\\sipaimages\\3\\14.jpg'],13.04,58,,,14,134,1304,1304,1304.0,13.14
0,['.\\sipaimages\\3\\15.jpg'],30.24,58,,,1,0,4,4,0.0,14.0
0,['.\\sipaimages\\3\\16.jpg'],13.04,58,,,14,1304,14,1304,1304.0,13.04
0,['.\\sipaimages\\3\\17.jpg'],13.03,58,,,113,1303,13,1303,13.03,13.09
0,['.\\sipaimages\\3\\18.jpg'],30.23,58,,,9.13,,1.13,5,,1.0
0,['.\\sipaimages\\3\\19.jpg'],3.76,58,,,11,36,176,376,376.0,11.0
0,['.\\sipaimages\\3\\2.jpg'],30.31,58,7,,31,3,331,,3.0,931.0
0,['.\\sipaimages\\3\\20.jpg'],30.23,58,144,,141,12,141,3,1.0,1.0
0,['.\\sipaimages\\3\\21.jpg'],33.99,58,,,1,,118,,,191.0
0,['.\\sipaimages\\3\\22.jpg'],3.75,58,,,16,5,116,1,7.0,16.0
0,['.\\sipaimages\\3\\23.jpg'],30.23,58,,,4,2,10.23,0.2,2.0,14.0
0,['.\\sipaimages\\3\\24.jpg'],30.24,58,,,114,0,1124,,0.0,114.0
0,['.\\sipaimages\\3\\25.jpg'],33.99,58,14,,19,19,11,19,14.0,1.0
0,['.\\sipaimages\\3\\26.jpg'],3.75,58,,,316,,316,5,,11.0
0,['.\\sipaimages\\3\\3.jpg'],13.04,58,11019,,1304,1304,1444,1304,13.04,13.4
0,['.\\sipaimages\\3\\4.jpg'],13.05,58,741,,,,,,105.0,105.0
0,['.\\sipaimages\\3\\5.jpg'],30.3,58,6,,101,5,11,,,31.0
0,['.\\sipaimages\\3\\6.jpg'],13.04,58,14,,10,0,184,,13104.0,134.0
0,['.\\sipaimages\\3\\7.jpg'],13.04,58,,,14,1304,1104,1304,13.04,134.0
0,['.\\sipaimages\\3\\8.jpg'],30.31,58,1,,11,,31,,0.0,131.0
0,['.\\sipaimages\\3\\9.jpg'],13.04,58,1111513,,1.4,1304,184,130,1304.0,14.0
0,['.\\sipaimages\\3\\1.jpg'],30.31,59,7,,31,3,11,['.'],,11.0
0,['.\\sipaimages\\3\\10.jpg'],13.05,59,14,['..'],108,1305,1346,1305,1305.0,13.46
0,['.\\sipaimages\\3\\11.jpg'],20.59,59,,,19,2,,,0.0,19.0
0,['.\\sipaimages\\3\\12.jpg'],13.05,59,,,106,1305,106,1305,1305.0,13.06
0,['.\\sipaimages\\3\\13.jpg'],30.31,59,,,301,3,1,231,303.0,30.1
0,['.\\sipaimages\\3\\14.jpg'],13.04,59,,,14,134,134,1304,1304.0,13.04
0,['.\\sipaimages\\3\\15.jpg'],30.24,59,144,,14,2,4,2,2.0,1.0
0,['.\\sipaimages\\3\\16.jpg'],13.04,59,,,14,1304,14,1304,1304.0,13.4
0,['.\\sipaimages\\3\\17.jpg'],13.03,59,16,,113,1303,143,1303,13.03,13.09
0,['.\\sipaimages\\3\\18.jpg'],30.23,59,,,141,,141,0,0.0,109.0
0,['.\\sipaimages\\3\\19.jpg'],3.76,59,,,111,376,176,37,376.0,10.0
0,['.\\sipaimages\\3\\2.jpg'],30.31,59,,,31,2,1,,3.0,331.0
0,['.\\sipaimages\\3\\20.jpg'],30.23,59,14,,121,12,,,0.0,11.0
0,['.\\sipaimages\\3\\21.jpg'],33.99,59,0,,10,,111,,,1.0
0,['.\\sipaimages\\3\\22.jpg'],3.75,59,,,1,375,16,,,6.0
0,['.\\sipaimages\\3\\23.jpg'],30.23,59,,,4,2,11.13,3,2.0,14.0
0,['.\\sipaimages\\3\\24.jpg'],30.24,59,,,114,10,14,,0.0,114.0
0,['.\\sipaimages\\3\\25.jpg'],33.99,59,161,,19,19,11,49,1.0,1.0
0,['.\\sipaimages\\3\\26.jpg'],3.75,59,,,,,18,15,,11.0
0,['.\\sipaimages\\3\\3.jpg'],13.04,59,,,134,1304,1544,1304,1304.0,13.04
0,['.\\sipaimages\\3\\4.jpg'],13.05,59,11,,,,,,106.0,106.0
0,['.\\sipaimages\\3\\5.jpg'],30.3,59,1,,1,,,,,9.0
0,['.\\sipaimages\\3\\6.jpg'],13.04,59,,,14,0,181,,1.0,114.0
0,['.\\sipaimages\\3\\7.jpg'],13.04,59,,,14,1304,1144,1304,1304.0,1.04
0,['.\\sipaimages\\3\\8.jpg'],30.31,59,7,,11,3,,,,11.0
0,['.\\sipaimages\\3\\9.jpg'],13.04,59,,,1.4,1304,134,130,1304.0,104.0
0,['.\\sipaimages\\3\\1.jpg'],30.31,60,,,131,,11,['.'],3.0,1111.0
0,['.\\sipaimages\\3\\10.jpg'],13.05,60,,,108,1305,,,1305.0,13.06
0,['.\\sipaimages\\3\\11.jpg'],20.59,60,,,107,0,,,0.0,15.0
0,['.\\sipaimages\\3\\12.jpg'],13.05,60,,,14,1305,10,1305,1305.0,13.0
0,['.\\sipaimages\\3\\13.jpg'],30.31,60,,,31,4,331,3,303.0,30.31
0,['.\\sipaimages\\3\\14.jpg'],13.04,60,,,13.4,1304,1304,1304,1304.0,13.04
0,['.\\sipaimages\\3\\15.jpg'],30.24,60,14,,14,0,4,0,0.0,1.0
0,['.\\sipaimages\\3\\16.jpg'],13.04,60,,,14,130,14,1304,1304.0,13.04
0,['.\\sipaimages\\3\\17.jpg'],13.03,60,,,13,1303,143,1303,13.03,13.09
0,['.\\sipaimages\\3\\18.jpg'],30.23,60,,,10.23,4,10.43,,3.0,0.0
0,['.\\sipaimages\\3\\19.jpg'],3.76,60,,,78,37,111,3,378.0,3.18
0,['.\\sipaimages\\3\\2.jpg'],30.31,60,7,,331,3,,,,31.0
0,['.\\sipaimages\\3\\20.jpg'],30.23,60,,,41,,,,3.0,31.0
0,['.\\sipaimages\\3\\21.jpg'],33.99,60,15,,190,,1400,1,,11.0
0,['.\\sipaimages\\3\\22.jpg'],3.75,60,,,19,5,118,3,35.0,6.0
0,['.\\sipaimages\\3\\23.jpg'],30.23,60,,,114,2,1.13,2,2.0,4.0
0,['.\\sipaimages\\3\\24.jpg'],30.24,60,,,114,0,114,,,114.0
0,['.\\sipaimages\\3\\25.jpg'],33.99,60,162,,1,19,11,59,1.0,19.0
0,['.\\sipaimages\\3\\26.jpg'],3.75,60,,,,,18,3,1.0,319.0
0,['.\\sipaimages\\3\\3.jpg'],13.04,60,11114,,134,1304,1544,1304,13.04,13.04
0,['.\\sipaimages\\3\\4.jpg'],13.05,60,5,,,,,,15.0,15.0
0,['.\\sipaimages\\3\\5.jpg'],30.3,60,7,,1,,,,,111.0
0,['.\\sipaimages\\3\\6.jpg'],13.04,60,,,11,104,,,14.0,114.0
0,['.\\sipaimages\\3\\7.jpg'],13.04,60,,,1344,1304,1344,1304,1304.0,1.04
0,['.\\sipaimages\\3\\8.jpg'],30.31,60,,,11,3,,,0.0,11.0
0,['.\\sipaimages\\3\\9.jpg'],13.04,60,,,14,134,144,130,1304.0,14.0
0,['.\\sipaimages\\3\\1.jpg'],30.31,61,,,131,3,11,0,3.0,11.0
0,['.\\sipaimages\\3\\10.jpg'],13.05,61,165,,108,1305,,,1308.0,139.0
0,['.\\sipaimages\\3\\11.jpg'],20.59,61,,,117,0,11,8,0.0,1.0
0,['.\\sipaimages\\3\\12.jpg'],13.05,61,,,10,1305,10,1305,13.05,13.09
0,['.\\sipaimages\\3\\13.jpg'],30.31,61,,,91,3,1,3,0.0,11.0
