,image_file,seen_data_numeric,size_used,closing_ssd,closing_eng,mro_ssd,mro_eng,thresh_eng,thresh_ssd
0,['.\\sipaimages\\4\\9.jpg'],3.436,52,55,,3,,,0.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,53,,,11,,,11.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,53,,,1010,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,53,,,59,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,53,1,,151,,,151.0
0,['.\\sipaimages\\4\\4.jpg'],-3.441,53,4,,,,,1.0
0,['.\\sipaimages\\4\\5.jpg'],-3.596,53,1,,1,,,59.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,53,58,,1,,,10.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,53,41,,3,,['.'],1.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,53,5,,3,,['.'],14.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,53,55,,3,,4,0.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,54,,,9,,,47.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,54,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,54,,,17,,,11.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,54,1001,,,,,
0,['.\\sipaimages\\4\\4.jpg'],-3.441,54,,,,,,1.0
0,['.\\sipaimages\\4\\5.jpg'],-3.596,54,,,1,,,5.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,54,5,,14,,,10.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,54,2,,3,,,17.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,54,5,,3,,['.'],1.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,54,55,,3,,,0.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,55,,,9907,,,121.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,55,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,55,,,59,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,55,91,,151,,,151.0
0,['.\\sipaimages\\4\\4.jpg'],-3.441,55,9,,1,,,1.0
0,['.\\sipaimages\\4\\5.jpg'],-3.596,55,42,,1,,,11.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,55,9,,87,,,10.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,55,0,,3,,,7.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,55,5,,3,1,['.'],117.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,55,1,,3,,,0.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,56,,,1,,,19.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,56,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,56,,,5,,,
0,['.\\sipaimages\\4\\3.jpg'],-3.442,56,35371,2.0,,,,
0,['.\\sipaimages\\4\\4.jpg'],-3.441,56,,,,,,1.0
0,['.\\sipaimages\\4\\5.jpg'],-3.596,56,,,59,,,1.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,56,9,,1500,,,10.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,56,2,,3,,4,0.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,56,5,,3,,['.'],1.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,56,55,,3,,,0.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,57,,,19,,,19.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,57,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,57,,,1,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,57,11,,1,,,7.0
0,['.\\sipaimages\\4\\4.jpg'],-3.441,57,,,7,,,1.0
0,['.\\sipaimages\\4\\5.jpg'],-3.596,57,,,5,,,52.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,57,557,,0.7,,,100.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,57,4,,3,,0.4,0.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,57,8,,3,,['.'],1.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,57,55,,3,,,0.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,58,,,9,,,9.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,58,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,58,,,5,1,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,58,,,8,,,7.0
0,['.\\sipaimages\\4\\4.jpg'],-3.441,58,,,,,,219.0
0,['.\\sipaimages\\4\\5.jpg'],-3.596,58,,,2,,,1.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,58,57,,179,,,10.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,58,2,,3,,4,0.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,58,5,,,1,['.'],1.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,58,2,,3,,,0.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,59,,,9,,,4.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,59,,,110,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,59,,,7,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,59,,,,,,
0,['.\\sipaimages\\4\\4.jpg'],-3.441,59,,,,,,
0,['.\\sipaimages\\4\\5.jpg'],-3.596,59,,,59,,,5.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,59,49,,1,,,100.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,59,5,,3,,,0.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,59,3,,3,1,['.'],1.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,59,55,,3,,,0.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,60,,,9,,,4.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,60,,,1610,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,60,,,11,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,60,,,,,,
0,['.\\sipaimages\\4\\4.jpg'],-3.441,60,,,,,,
0,['.\\sipaimages\\4\\5.jpg'],-3.596,60,,,59,,,52.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,60,49,,,,,100.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,60,4,,3,,,7.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,60,5,,3,,['.'],17.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,60,55,,3,,4,17.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,61,,,9,,,19.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,61,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,61,,,5,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,61,,,3,,,3.0
0,['.\\sipaimages\\4\\4.jpg'],-3.441,61,,,,,,
0,['.\\sipaimages\\4\\5.jpg'],-3.596,61,,,,,,
0,['.\\sipaimages\\4\\6.jpg'],3.536,61,7,['.'],,,,100.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,61,25,,3,,4,7.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,61,8,,3,,['.'],1.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,61,5,1,3,,,
0,['.\\sipaimages\\4\\1.jpg'],-3.188,62,,,18,,,18.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,62,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,62,,,1,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,62,,,,,,
0,['.\\sipaimages\\4\\4.jpg'],-3.441,62,,,,,,61.0
0,['.\\sipaimages\\4\\5.jpg'],-3.596,62,,,59,,,
0,['.\\sipaimages\\4\\6.jpg'],3.536,62,,,1,,,10.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,62,5,,3,,4,0.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,62,5,,3,1,['.'],14.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,62,55,,3,,,0.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,63,,,9,,,9.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,63,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,63,,,59,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,63,,,,,,
0,['.\\sipaimages\\4\\4.jpg'],-3.441,63,,,,,,
0,['.\\sipaimages\\4\\5.jpg'],-3.596,63,,,1,,,1.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,63,,,1,,,10.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,63,5,,3,,0.4,7.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,63,3,,3,,['.'],14.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,63,505,,3,,,17.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,64,,,9,,,9.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,64,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,64,,,5,1,,
0,['.\\sipaimages\\4\\3.jpg'],-3.442,64,,,,,,
0,['.\\sipaimages\\4\\4.jpg'],-3.441,64,,,,,,1.0
0,['.\\sipaimages\\4\\5.jpg'],-3.596,64,,,21,,,59.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,64,49,,18,,,100.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,64,5,,3,,,0.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,64,3,,3,,['.'],11.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,64,55,,3,1,,0.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,65,,,4,,,9.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,65,,,1613,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,65,,,1,,,11.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,65,,,,,,
0,['.\\sipaimages\\4\\4.jpg'],-3.441,65,,,,,,
0,['.\\sipaimages\\4\\5.jpg'],-3.596,65,,,57,,,
0,['.\\sipaimages\\4\\6.jpg'],3.536,65,,,889,,,100.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,65,2,,3,,0.4,17.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,65,1,,3,1,['.'],1.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,65,5,,3,1,,17.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,66,,,19,,,18.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,66,,,110,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,66,,,1,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,66,,,,,,
0,['.\\sipaimages\\4\\4.jpg'],-3.441,66,,,,,,
0,['.\\sipaimages\\4\\5.jpg'],-3.596,66,,,59,,,
0,['.\\sipaimages\\4\\6.jpg'],3.536,66,,,,,,100.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,66,25,,3,,4,0.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,66,5,,3,1,['.'],11.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,66,5,,3,,,1.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,67,,,9,,,19.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,67,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,67,,,1,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,67,,,71,,,71.0
0,['.\\sipaimages\\4\\4.jpg'],-3.441,67,,,,,,
0,['.\\sipaimages\\4\\5.jpg'],-3.596,67,,,57,,,59.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,67,,,1309,['.'],,100.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,67,25,,3,,,7.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,67,1,,3,,,1.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,67,55,,3,,4,7.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,68,,,,,,19.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,68,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,68,,,1,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,68,,,,,,
0,['.\\sipaimages\\4\\4.jpg'],-3.441,68,,,,,,
0,['.\\sipaimages\\4\\5.jpg'],-3.596,68,,,1,,,1.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,68,,,1,,,100.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,68,25,,3,,0.4,0.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,68,1,,1,1,,14.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,68,55,,3,,,17.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,69,,,7,,,9.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,69,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,69,9649,,5,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,69,,,71,,,71.0
0,['.\\sipaimages\\4\\4.jpg'],-3.441,69,,,,,,
0,['.\\sipaimages\\4\\5.jpg'],-3.596,69,,,59,,,1.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,69,,,1077,,,100.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,69,25,,3,,0.4,7.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,69,8,,3,1,['.'],1.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,69,55,,3,,4,7.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,70,,,9,,,4.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,70,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,70,,,5,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,70,,,,,,
0,['.\\sipaimages\\4\\4.jpg'],-3.441,70,,,151,,,19.0
0,['.\\sipaimages\\4\\5.jpg'],-3.596,70,,,1,,,7.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,70,,,81.7,,,0.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,70,25,,3,,,0.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,70,2,,3,,['.'],11.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,70,55,,3,,4,7.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,71,,,4,,,4.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,71,,,111,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,71,,,,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,71,,,,,,
0,['.\\sipaimages\\4\\4.jpg'],-3.441,71,,,,,,
0,['.\\sipaimages\\4\\5.jpg'],-3.596,71,,,59,,,39.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,71,,,1,,,0.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,71,25,,3,,9,4.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,71,3,,3,1,0.4,11.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,71,55,,3,,,7.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,72,,,9,,,19.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,72,,,1610,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,72,,,59,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,72,,,51,,,51.0
0,['.\\sipaimages\\4\\4.jpg'],-3.441,72,,,,,,1.0
0,['.\\sipaimages\\4\\5.jpg'],-3.596,72,824,,59,,,39.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,72,,,,,,10.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,72,25,5,3,,9,4.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,72,5,,3,1,['.'],1.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,72,55,,3,,,7.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,73,,,21,,,9.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,73,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,73,,,59,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,73,,,,,,
0,['.\\sipaimages\\4\\4.jpg'],-3.441,73,,,,,,
0,['.\\sipaimages\\4\\5.jpg'],-3.596,73,,,,,,
0,['.\\sipaimages\\4\\6.jpg'],3.536,73,,,['10.71.77'],,,10.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,73,5,,3,,,1.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,73,2,,3,1,['.'],0.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,73,55,,3,,4,7.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,74,,,9,,,19.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,74,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,74,,,59,,,11.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,74,,,,,,
0,['.\\sipaimages\\4\\4.jpg'],-3.441,74,,,,,,
0,['.\\sipaimages\\4\\5.jpg'],-3.596,74,14,,52,,,
0,['.\\sipaimages\\4\\6.jpg'],3.536,74,,,14,,,10.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,74,25,,3,,,40.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,74,0,,3,,['.'],1.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,74,55,,3,,,17.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,75,,,9,,,9.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,75,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,75,,,5,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,75,,,51,,,17.0
0,['.\\sipaimages\\4\\4.jpg'],-3.441,75,,,,,,
0,['.\\sipaimages\\4\\5.jpg'],-3.596,75,,,59,,,1.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,75,,,,,,1.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,75,41,,3,,,40.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,75,3,,,,['.'],1.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,75,55,,3,,4,7.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,76,,,1,,,9.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,76,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,76,,,59,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,76,,,,,,
0,['.\\sipaimages\\4\\4.jpg'],-3.441,76,,,,,,9.0
0,['.\\sipaimages\\4\\5.jpg'],-3.596,76,,,1,,,1.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,76,,,14,,,100.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,76,25,5,3,,,40.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,76,1,,3,1,['.'],1.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,76,55,,3,1,4,7.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,77,,,9,,,4.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,77,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,77,,,59,,,11.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,77,47819,,,,,
0,['.\\sipaimages\\4\\4.jpg'],-3.441,77,,,,,,
0,['.\\sipaimages\\4\\5.jpg'],-3.596,77,,,,,,
0,['.\\sipaimages\\4\\6.jpg'],3.536,77,,,1557,,,100.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,77,41,,3,,0.4,0.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,77,2,,3,,['.'],1.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,77,55,1,3,,4,7.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,78,,,9,,,4.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,78,,,10133,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,78,,,,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,78,,,151,,,151.0
0,['.\\sipaimages\\4\\4.jpg'],-3.441,78,,,,,,
0,['.\\sipaimages\\4\\5.jpg'],-3.596,78,119,,,,,
0,['.\\sipaimages\\4\\6.jpg'],3.536,78,,,1,,,100.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,78,25,,3,,0.4,17.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,78,1,,3,,,0.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,78,55,,3,,4,7.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,79,,,19,,,9.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,79,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,79,,,,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,79,,,151,,,151.0
0,['.\\sipaimages\\4\\4.jpg'],-3.441,79,,,,,,
0,['.\\sipaimages\\4\\5.jpg'],-3.596,79,,,57,,,37.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,79,,,1,,,100.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,79,25,5,3,,,7.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,79,1,,3,1,,0.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,79,55,,3,,4,7.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,80,,,9,,,19.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,80,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,80,185147,,,,,11.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,80,,,,,,
0,['.\\sipaimages\\4\\4.jpg'],-3.441,80,,,,,,
0,['.\\sipaimages\\4\\5.jpg'],-3.596,80,,,5,,,7.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,80,,,89,,,100.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,80,25,5,3,,0.4,7.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,80,1,,,,,0.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,80,55,,3,,4,0.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,81,,,9,,,19.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,81,,,1613,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,81,,,,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,81,74,,,,,
0,['.\\sipaimages\\4\\4.jpg'],-3.441,81,,,,,,
0,['.\\sipaimages\\4\\5.jpg'],-3.596,81,,,59,,,
0,['.\\sipaimages\\4\\6.jpg'],3.536,81,,,1,,,0.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,81,25,,3,,0.4,1.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,81,5,,3,1,,1.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,81,55,,3,,,7.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,82,,,4,,,4.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,82,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,82,,,59,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,82,14182,['.'],,,,
0,['.\\sipaimages\\4\\4.jpg'],-3.441,82,,,,,4,7.0
0,['.\\sipaimages\\4\\5.jpg'],-3.596,82,,,,,,
0,['.\\sipaimages\\4\\6.jpg'],3.536,82,,,1,,,0.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,82,25,,3,,,7.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,82,1,,3,1,,1.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,82,1,,3,,4,7.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,83,,,9,,,9.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,83,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,83,,,59,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,83,,,151,,,151.0
0,['.\\sipaimages\\4\\4.jpg'],-3.441,83,,,,,,
0,['.\\sipaimages\\4\\5.jpg'],-3.596,83,12,,5,,,1.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,83,,,1,,,0.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,83,25,,3,,,4.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,83,1,,3,1,,1.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,83,505,['.'],3,,4,7.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,84,,,9,,,4.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,84,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,84,1024,,5,,,11.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,84,,,151,,,151.0
0,['.\\sipaimages\\4\\4.jpg'],-3.441,84,,,,,,
0,['.\\sipaimages\\4\\5.jpg'],-3.596,84,,,,,,59.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,84,,,770,['..'],,0.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,84,25,5,3,,0.4,0.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,84,1,,3,,['.'],1.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,84,5,,3,,4,7.0
