,image_file,seen_data_numeric,size_used,closing_ssd,closing_eng,mro_ssd,mro_eng
0,['./sipaimages/2/22424_20220321164919.jpg'],678,100,,,157151,578
0,['./sipaimages/2/22424_20220321165018.jpg'],678,100,,,678,8
0,['./sipaimages/2/22424_20220321165052.jpg'],678,100,,,678,6578
0,['./sipaimages/2/22424_20220321165333.jpg'],678,100,,,678,678
0,['./sipaimages/2/22424_20220321165532.jpg'],678,100,,,678,578
0,['./sipaimages/2/22424_20220321165750.jpg'],678,100,,,861,8
0,['./sipaimages/2/22424_20220321170235.jpg'],678,100,,,151051,578
0,['./sipaimages/2/22424_20220321170627.jpg'],678,100,,,1311151,578
0,['./sipaimages/2/22424_20220321170921.jpg'],678,100,,,678,578
0,['./sipaimages/2/22424_20220321171209.jpg'],678,100,,,678,678
0,['./sipaimages/2/22424_20220321172831.jpg'],678,100,,,678,678
0,['./sipaimages/2/22425_20220321172929.jpg'],678,100,,,678,8
0,['./sipaimages/2/22425_20220321174624.jpg'],678,100,,,678,8
0,['./sipaimages/2/22425_20220321174637.jpg'],678,100,,,678,578
0,['./sipaimages/2/22425_20220321174747.jpg'],678,100,,,6578,878
0,['./sipaimages/2/22425_20220321175027.jpg'],678,100,,,1211151,8
0,['./sipaimages/2/22425_20220321175511.jpg'],678,100,,,678,678
0,['./sipaimages/2/22425_20220321175556.jpg'],678,100,,,8278,8
0,['./sipaimages/2/22425_20220321175706.jpg'],678,100,,,137151,8
0,['./sipaimages/2/22425_20220321175832.jpg'],['17:58:29'],100,,,175829,
0,['./sipaimages/2/22426_20220322102942.jpg'],5678,100,,,1714,['.']
0,['./sipaimages/2/22427_20220321125959.jpg'],1234,100,,,,
0,['./sipaimages/2/22427_20220322105451.jpg'],5679,100,44,,5679,56719
0,['./sipaimages/2/22428_20220322113154.jpg'],5679,100,,,5679,55713
0,['./sipaimages/2/22429_20220321135659.jpg'],4321,100,65,,67,
0,['./sipaimages/2/22429_20220321135734.jpg'],4321,100,,,421161,
0,['./sipaimages/2/22429_20220322102919.jpg'],5678,100,,,5678,678
0,['./sipaimages/2/22429_20220322114825.jpg'],5679,100,,,3161,9
0,['./sipaimages/2/22430_20220322115422.jpg'],5679,100,,,,
0,['./sipaimages/2/22430_20220322120924.jpg'],5679,100,,,,
0,['./sipaimages/2/22431_20220321173021.jpg'],678,100,,,1571151,8
0,['./sipaimages/2/22431_20220321173649.jpg'],678,100,,,15111151,8
0,['./sipaimages/2/22431_20220322130331.jpg'],4567,100,,,4817,['.']
0,['./sipaimages/2/22431_20220322130602.jpg'],4567,100,,,17,
0,['./sipaimages/2/22431_20220322130947.jpg'],4567,100,,,81167,
0,['./sipaimages/2/22431_20220322132037.jpg'],4567,100,,,102,
0,['./sipaimages/2/22432_20220321171245.jpg'],678,100,,,678,578
0,['./sipaimages/2/22432_20220321171537.jpg'],678,100,,,678,678
0,['./sipaimages/2/22432_20220321171700.jpg'],678,100,,,121131,
0,['./sipaimages/2/22432_20220321171847.jpg'],678,100,,,678,678
0,['./sipaimages/2/22432_20220321172236.jpg'],678,100,,,678,578
0,['./sipaimages/2/22432_20220321172302.jpg'],678,100,,,6578,578
0,['./sipaimages/2/22432_20220321172428.jpg'],678,100,,,157151,
0,['./sipaimages/2/22432_20220321172547.jpg'],678,100,,,678,578
0,['./sipaimages/2/22432_20220322132716.jpg'],3456,100,,,,
0,['./sipaimages/2/22432_20220322133052.jpg'],2456,100,,,124561,
0,['./sipaimages/2/22432_20220322162557.jpg'],2456,100,,,2456,4
0,['./sipaimages/2/22432_20220322162630.jpg'],2456,100,,,51515,2
0,['./sipaimages/2/22433_20220323145344.jpg'],9876,100,92,,8875,
0,['./sipaimages/2/22434_20220323145632.jpg'],9876,100,,,18276,
0,['./sipaimages/2/22434_20220324114526.jpg'],1234,100,,,,
0,['./sipaimages/2/22434_20220324134245.jpg'],1234,100,,,233,
0,['./sipaimages/2/22435_20220322120902.jpg'],5675,100,2,,,
0,['./sipaimages/2/22435_20220324134938.jpg'],1234,100,,,,
0,['./sipaimages/2/22436_20220324135243.jpg'],1233,100,,,9114,['.']
0,['./sipaimages/2/22437_20220324135318.jpg'],1233,100,,,,
0,['./sipaimages/2/22438_20220324141106.jpg'],1233,100,,,,
0,['./sipaimages/2/22439_20220324143048.jpg'],1633,100,1,,,
0,['./sipaimages/2/22440_20220324143411.jpg'],1634,100,,,,
0,['./sipaimages/2/22440_20220324143427.jpg'],1634,100,,,111,
0,['./sipaimages/2/22441_20220325120457.jpg'],9876,100,7,,,
0,['./sipaimages/2/23029_20220326160130.jpg'],1001,100,,,,
0,['./sipaimages/2/23030_20220326160243.jpg'],1002,100,,,,
0,['./sipaimages/2/23031_20220328101115.jpg'],3456,100,7,,,
0,['./sipaimages/2/23033_20220328104942.jpg'],4563,100,,,11,
0,['./sipaimages/2/23034_20220326161215.jpg'],1003,100,,,,
0,['./sipaimages/2/23035_20220328101208.jpg'],3457,100,1,,,
0,['./sipaimages/2/23038_20220326183516.jpg'],1982,100,,,4041,4
0,['./sipaimages/2/23039_20220326173036.jpg'],1783,100,,,511,783
0,['./sipaimages/2/23042_20220326183850.jpg'],1984,100,,,1215111,88
0,['./sipaimages/2/23043_20220328141901.jpg'],5432,100,,,5411,
0,['./sipaimages/2/23046_20220326184551.jpg'],1926,100,,,163,
0,['./sipaimages/2/23050_20220326184912.jpg'],1928,100,,,111,['.']
0,['./sipaimages/2/27179_20220413145802.jpg'],1234,100,,,,
0,['./sipaimages/2/27207_20220413151034.jpg'],1234,100,,,1234,234
0,['./sipaimages/2/27271_20220414092232.jpg'],8543,100,49,,261,8543
0,['./sipaimages/2/27273_20220414104049.jpg'],9876,100,,,9876,9876
0,['./sipaimages/2/3.jpg'],9876,100,,,16,
0,['./sipaimages/2/4.jpg'],9876,100,,,66,
0,['./sipaimages/2/42325_20220504102743.jpg'],1234,100,,,,
0,['./sipaimages/2/42325_20220504102856.jpg'],1234,100,,,,
0,['./sipaimages/2/42327_20220504103528.jpg'],1234,100,,,1234,
0,['./sipaimages/2/42333_20220504100651.jpg'],1234,100,,,,
0,['./sipaimages/2/42351_20220504111327.jpg'],1234,100,,,1234,34
0,['./sipaimages/2/42533_20220505081840.jpg'],3456,100,7,,324,8
0,['./sipaimages/2/42535_20220504111619.jpg'],1234,100,,,,
0,['./sipaimages/2/42537_20220504111652.jpg'],1234,100,,,8871,
0,['./sipaimages/2/42539_20220504111717.jpg'],1234,100,,,427,
0,['./sipaimages/2/42539_20220504111812.jpg'],1234,100,,,4884,
0,['./sipaimages/2/42541_20220504111842.jpg'],1234,100,,,,
0,['./sipaimages/2/42541_20220504111857.jpg'],1234,100,,,,
0,['./sipaimages/2/42543_20220505082357.jpg'],3456,100,,,3456,56
0,['./sipaimages/2/42545_20220505082601.jpg'],1234,100,,,3456,3
0,['./sipaimages/2/42547_20220504112915.jpg'],1234,100,,,1234,234
0,['./sipaimages/2/42549_20220504112947.jpg'],1234,100,,,434,
0,['./sipaimages/2/42549_20220504113120.jpg'],1234,100,,,1234,234
0,['./sipaimages/2/42551_20220504113256.jpg'],1234,100,,,1234,239
0,['./sipaimages/2/42553_20220504113419.jpg'],1234,100,,,1234,
0,['./sipaimages/2/42553_20220504113437.jpg'],1234,100,,,9411,
0,['./sipaimages/2/42555_20220504130248.jpg'],1234,100,,,234,
0,['./sipaimages/2/42557_20220504130417.jpg'],1234,100,,,1234,
0,['./sipaimages/2/42559_20220504130530.jpg'],1234,100,0,,,
0,['./sipaimages/2/42563_20220504151622.jpg'],1234,100,,,1234,234
0,['./sipaimages/2/42569_20220506135958.jpg'],1234,100,,,15511,23
0,['./sipaimages/2/42571_20220506140037.jpg'],1234,100,,,1234,234
0,['./sipaimages/2/42573_20220506140241.jpg'],1234,100,,,1234,
0,['./sipaimages/2/42575_20220506140321.jpg'],1234,100,,,1234,234
0,['./sipaimages/2/42577_20220506140349.jpg'],1234,100,,,1234,
0,['./sipaimages/2/42583_20220506140613.jpg'],1234,100,,,1234,234
0,['./sipaimages/2/42585_20220506140705.jpg'],1234,100,,,16011,1234
0,['./sipaimages/2/42596_20220506141103.jpg'],1234,100,,,1234,234
0,['./sipaimages/2/42597_20220506141125.jpg'],1234,100,,,15511,
0,['./sipaimages/2/42598_20220506141152.jpg'],1234,100,,,1234,234
0,['./sipaimages/2/42617_20220506141718.jpg'],1234,100,,,1234,233
0,['./sipaimages/2/42618_20220506141745.jpg'],1234,100,,,1234,234
0,['./sipaimages/2/42619_20220506142415.jpg'],1234,100,,,1234,
0,['./sipaimages/2/42620_20220506142444.jpg'],1234,100,,,1234,234
0,['./sipaimages/2/42621_20220506142843.jpg'],1234,100,,,1234,234
0,['./sipaimages/2/42622_20220506142904.jpg'],1234,100,,,4234,
0,['./sipaimages/2/42623_20220506143026.jpg'],1234,100,,,1234,234
0,['./sipaimages/2/42624_20220506143053.jpg'],1234,100,,,1234,23
0,['./sipaimages/2/42638_20220506144311.jpg'],1234,100,,,1234,123
0,['./sipaimages/2/42639_20220506144337.jpg'],1234,100,,,1234,34
0,['./sipaimages/2/42659_20220506144641.jpg'],1234,100,,,1234,34
0,['./sipaimages/2/42659_20220506144717.jpg'],1234,100,,,1234,3
0,['./sipaimages/2/42660_20220506144810.jpg'],1234,100,,,1234,234
0,['./sipaimages/2/42661_20220506144828.jpg'],1234,100,,,1234,234
0,['./sipaimages/2/42662_20220506145637.jpg'],1234,100,,,1561,
0,['./sipaimages/2/42933_20220509082757.jpg'],6789,100,,,6789,67189
0,['./sipaimages/2/42935_20220509082824.jpg'],6789,100,,,133511,6189
0,['./sipaimages/2/5.jpg'],3456,100,,,3456,3956
0,['./sipaimages/2/6.jpg'],6543,100,,,7,
0,['./sipaimages/2/7.jpg'],1278,100,,,,
0,['./sipaimages/2/8.jpg'],1279,100,,,1279,279
0,['./sipaimages/2/9.jpg'],2244,100,,,2244,
0,['./sipaimages/2/1.jpg'],5679,101,44,,5679,5679
0,['./sipaimages/2/10.jpg'],2244,101,,,2244,244
0,['./sipaimages/2/11.jpg'],2244,101,41,,2244,
0,['./sipaimages/2/12.jpg'],2244,101,,,2244,
0,['./sipaimages/2/13.jpg'],7244,101,4,,7244,
0,['./sipaimages/2/14.jpg'],7244,101,,,7244,244
0,['./sipaimages/2/15.jpg'],1234,101,,,0.1,
0,['./sipaimages/2/16.jpg'],1234,101,1,,,
0,['./sipaimages/2/2.jpg'],6543,101,,,12,
0,['./sipaimages/2/22319_20220321100350.jpg'],1234,101,1634,,1,
0,['./sipaimages/2/22319_20220321100409.jpg'],1234,101,1234,3,11,734
0,['./sipaimages/2/22319_20220321101240.jpg'],1234,101,1,,,
0,['./sipaimages/2/22319_20220321113903.jpg'],1234,101,,,1,
0,['./sipaimages/2/22319_20220321115131.jpg'],1234,101,,,11234,
0,['./sipaimages/2/22419_20220321130145.jpg'],1234,101,,,,
0,['./sipaimages/2/22420_20220321135314.jpg'],4321,101,19,,4411,3
0,['./sipaimages/2/22420_20220321135751.jpg'],4321,101,,,631,
0,['./sipaimages/2/22420_20220321135814.jpg'],4321,101,,,4311,4
0,['./sipaimages/2/22420_20220321141325.jpg'],4321,101,,,6311,
0,['./sipaimages/2/22421_20220321160735.jpg'],672,101,8,2,672,
0,['./sipaimages/2/22422_20220321161043.jpg'],674,101,,,674,874
0,['./sipaimages/2/22423_20220321161435.jpg'],675,101,,,2511,575
0,['./sipaimages/2/22424_20220321162804.jpg'],678,101,,,13115,578
0,['./sipaimages/2/22424_20220321162822.jpg'],678,101,,,678,578
0,['./sipaimages/2/22424_20220321162938.jpg'],678,101,,,131151,678
0,['./sipaimages/2/22424_20220321162953.jpg'],678,101,,,13751,678
0,['./sipaimages/2/22424_20220321163104.jpg'],678,101,,,1311151,578
0,['./sipaimages/2/22424_20220321163218.jpg'],678,101,,,31611,698
0,['./sipaimages/2/22424_20220321163247.jpg'],678,101,,,678,575
0,['./sipaimages/2/22424_20220321163942.jpg'],678,101,,,678,578
0,['./sipaimages/2/22424_20220321164919.jpg'],678,101,,,678,578
0,['./sipaimages/2/22424_20220321165018.jpg'],678,101,,,111151,8
0,['./sipaimages/2/22424_20220321165052.jpg'],678,101,,,15711,578
0,['./sipaimages/2/22424_20220321165333.jpg'],678,101,,,678,578
0,['./sipaimages/2/22424_20220321165532.jpg'],678,101,,,678,578
0,['./sipaimages/2/22424_20220321165750.jpg'],678,101,,,678,58
0,['./sipaimages/2/22424_20220321170235.jpg'],678,101,,,13151,678
0,['./sipaimages/2/22424_20220321170627.jpg'],678,101,,,678,678
0,['./sipaimages/2/22424_20220321170921.jpg'],678,101,,,678,578
0,['./sipaimages/2/22424_20220321171209.jpg'],678,101,,,678,
0,['./sipaimages/2/22424_20220321172831.jpg'],678,101,,,127151,718
0,['./sipaimages/2/22425_20220321172929.jpg'],678,101,,,678,678
0,['./sipaimages/2/22425_20220321174624.jpg'],678,101,,,678,678
0,['./sipaimages/2/22425_20220321174637.jpg'],678,101,,,678,578
0,['./sipaimages/2/22425_20220321174747.jpg'],678,101,,,157151,
0,['./sipaimages/2/22425_20220321175027.jpg'],678,101,,,678,578
0,['./sipaimages/2/22425_20220321175511.jpg'],678,101,,,678,8
0,['./sipaimages/2/22425_20220321175556.jpg'],678,101,,,578,8
0,['./sipaimages/2/22425_20220321175706.jpg'],678,101,,,678,678
0,['./sipaimages/2/22425_20220321175832.jpg'],['17:58:29'],101,,,175829,15829
0,['./sipaimages/2/22426_20220322102942.jpg'],5678,101,,,411401111,7
0,['./sipaimages/2/22427_20220321125959.jpg'],1234,101,,,,
0,['./sipaimages/2/22427_20220322105451.jpg'],5679,101,44,,5679,5619
0,['./sipaimages/2/22428_20220322113154.jpg'],5679,101,,,5679,573
0,['./sipaimages/2/22429_20220321135659.jpg'],4321,101,9,,6,
0,['./sipaimages/2/22429_20220321135734.jpg'],4321,101,,,13111.0,18
0,['./sipaimages/2/22429_20220322102919.jpg'],5678,101,,,5678,5
0,['./sipaimages/2/22429_20220322114825.jpg'],5679,101,,,879,
0,['./sipaimages/2/22430_20220322115422.jpg'],5679,101,,,,
0,['./sipaimages/2/22430_20220322120924.jpg'],5679,101,,,,
0,['./sipaimages/2/22431_20220321173021.jpg'],678,101,,,978,
0,['./sipaimages/2/22431_20220321173649.jpg'],678,101,,,578,
0,['./sipaimages/2/22431_20220322130331.jpg'],4567,101,,,57,['.']
0,['./sipaimages/2/22431_20220322130602.jpg'],4567,101,,,711,
0,['./sipaimages/2/22431_20220322130947.jpg'],4567,101,,,4161,
0,['./sipaimages/2/22431_20220322132037.jpg'],4567,101,,,1112,
0,['./sipaimages/2/22432_20220321171245.jpg'],678,101,,,678,
0,['./sipaimages/2/22432_20220321171537.jpg'],678,101,,,13151,8
0,['./sipaimages/2/22432_20220321171700.jpg'],678,101,,,578,8
0,['./sipaimages/2/22432_20220321171847.jpg'],678,101,,,678,678
0,['./sipaimages/2/22432_20220321172236.jpg'],678,101,,,13705,578
0,['./sipaimages/2/22432_20220321172302.jpg'],678,101,,,678,578
0,['./sipaimages/2/22432_20220321172428.jpg'],678,101,,,678,
0,['./sipaimages/2/22432_20220321172547.jpg'],678,101,,,678,1
0,['./sipaimages/2/22432_20220322132716.jpg'],3456,101,,,,
0,['./sipaimages/2/22432_20220322133052.jpg'],2456,101,,,124561,
0,['./sipaimages/2/22432_20220322162557.jpg'],2456,101,,,2456,244565
0,['./sipaimages/2/22432_20220322162630.jpg'],2456,101,,,51513,
0,['./sipaimages/2/22433_20220323145344.jpg'],9876,101,92,,18876,
0,['./sipaimages/2/22434_20220323145632.jpg'],9876,101,,,18276,
0,['./sipaimages/2/22434_20220324114526.jpg'],1234,101,,,,
0,['./sipaimages/2/22434_20220324134245.jpg'],1234,101,,,233,
0,['./sipaimages/2/22435_20220322120902.jpg'],5675,101,0,,,
0,['./sipaimages/2/22435_20220324134938.jpg'],1234,101,,,,
0,['./sipaimages/2/22436_20220324135243.jpg'],1233,101,,,,
0,['./sipaimages/2/22437_20220324135318.jpg'],1233,101,,,,
0,['./sipaimages/2/22438_20220324141106.jpg'],1233,101,,,,
0,['./sipaimages/2/22439_20220324143048.jpg'],1633,101,14,,,
0,['./sipaimages/2/22440_20220324143411.jpg'],1634,101,,,,
0,['./sipaimages/2/22440_20220324143427.jpg'],1634,101,,,801141,['.']
0,['./sipaimages/2/22441_20220325120457.jpg'],9876,101,7,,,
0,['./sipaimages/2/23029_20220326160130.jpg'],1001,101,,,,
0,['./sipaimages/2/23030_20220326160243.jpg'],1002,101,,,,
0,['./sipaimages/2/23031_20220328101115.jpg'],3456,101,7,,,
0,['./sipaimages/2/23033_20220328104942.jpg'],4563,101,,,1,
0,['./sipaimages/2/23034_20220326161215.jpg'],1003,101,,,992,3
0,['./sipaimages/2/23035_20220328101208.jpg'],3457,101,1,,34111,
0,['./sipaimages/2/23038_20220326183516.jpg'],1982,101,,,10041,
0,['./sipaimages/2/23039_20220326173036.jpg'],1783,101,,,15151,83
0,['./sipaimages/2/23042_20220326183850.jpg'],1984,101,,,15111,984
0,['./sipaimages/2/23043_20220328141901.jpg'],5432,101,,,5411,
0,['./sipaimages/2/23046_20220326184551.jpg'],1926,101,,,1926,1825
0,['./sipaimages/2/23050_20220326184912.jpg'],1928,101,,,111,['.']
0,['./sipaimages/2/27179_20220413145802.jpg'],1234,101,,,,
0,['./sipaimages/2/27207_20220413151034.jpg'],1234,101,,,1234,34
0,['./sipaimages/2/27271_20220414092232.jpg'],8543,101,,,8543,853
0,['./sipaimages/2/27273_20220414104049.jpg'],9876,101,,,3876,3876
0,['./sipaimages/2/3.jpg'],9876,101,,,1,
0,['./sipaimages/2/4.jpg'],9876,101,,,166,
0,['./sipaimages/2/42325_20220504102743.jpg'],1234,101,,,,
0,['./sipaimages/2/42325_20220504102856.jpg'],1234,101,,,,
0,['./sipaimages/2/42327_20220504103528.jpg'],1234,101,,,234,
0,['./sipaimages/2/42333_20220504100651.jpg'],1234,101,,,,
0,['./sipaimages/2/42351_20220504111327.jpg'],1234,101,,,1234,234
0,['./sipaimages/2/42533_20220505081840.jpg'],3456,101,4,,,
0,['./sipaimages/2/42535_20220504111619.jpg'],1234,101,,,,
0,['./sipaimages/2/42537_20220504111652.jpg'],1234,101,,,2.0,
0,['./sipaimages/2/42539_20220504111717.jpg'],1234,101,,,5,
0,['./sipaimages/2/42539_20220504111812.jpg'],1234,101,,,,
0,['./sipaimages/2/42541_20220504111842.jpg'],1234,101,,,4834,
0,['./sipaimages/2/42541_20220504111857.jpg'],1234,101,,,,
0,['./sipaimages/2/42543_20220505082357.jpg'],3456,101,,,34556,
0,['./sipaimages/2/42545_20220505082601.jpg'],1234,101,,,3456,3156
0,['./sipaimages/2/42547_20220504112915.jpg'],1234,101,,,35,34
0,['./sipaimages/2/42549_20220504112947.jpg'],1234,101,,,1234,['.']
0,['./sipaimages/2/42549_20220504113120.jpg'],1234,101,,,551,239
0,['./sipaimages/2/42551_20220504113256.jpg'],1234,101,,,1284,34
0,['./sipaimages/2/42553_20220504113419.jpg'],1234,101,,,1234,
0,['./sipaimages/2/42553_20220504113437.jpg'],1234,101,,,9411,
0,['./sipaimages/2/42555_20220504130248.jpg'],1234,101,,,1234,
0,['./sipaimages/2/42557_20220504130417.jpg'],1234,101,,,1234,234
0,['./sipaimages/2/42559_20220504130530.jpg'],1234,101,0,,,
0,['./sipaimages/2/42563_20220504151622.jpg'],1234,101,,,154511,234
0,['./sipaimages/2/42569_20220506135958.jpg'],1234,101,,,1234,34
0,['./sipaimages/2/42571_20220506140037.jpg'],1234,101,,,1234,234
0,['./sipaimages/2/42573_20220506140241.jpg'],1234,101,,,1234,234
0,['./sipaimages/2/42575_20220506140321.jpg'],1234,101,,,1234,34
0,['./sipaimages/2/42577_20220506140349.jpg'],1234,101,,,1234,1234
0,['./sipaimages/2/42583_20220506140613.jpg'],1234,101,,,1234,1234
0,['./sipaimages/2/42585_20220506140705.jpg'],1234,101,,,1511,
0,['./sipaimages/2/42596_20220506141103.jpg'],1234,101,,,1234,234
0,['./sipaimages/2/42597_20220506141125.jpg'],1234,101,,,1234,
0,['./sipaimages/2/42598_20220506141152.jpg'],1234,101,,,1234,1234
0,['./sipaimages/2/42617_20220506141718.jpg'],1234,101,,,1234,1
0,['./sipaimages/2/42618_20220506141745.jpg'],1234,101,,,1234,223
0,['./sipaimages/2/42619_20220506142415.jpg'],1234,101,,,1234,234
0,['./sipaimages/2/42620_20220506142444.jpg'],1234,101,,,1234,
0,['./sipaimages/2/42621_20220506142843.jpg'],1234,101,,,1234,3
0,['./sipaimages/2/42622_20220506142904.jpg'],1234,101,,,1234,
0,['./sipaimages/2/42623_20220506143026.jpg'],1234,101,,,1234,234
0,['./sipaimages/2/42624_20220506143053.jpg'],1234,101,,,1234,23
0,['./sipaimages/2/42638_20220506144311.jpg'],1234,101,,,1234,234
0,['./sipaimages/2/42639_20220506144337.jpg'],1234,101,,,1234,3
0,['./sipaimages/2/42659_20220506144641.jpg'],1234,101,,,1234,234
0,['./sipaimages/2/42659_20220506144717.jpg'],1234,101,,,1234,34
0,['./sipaimages/2/42660_20220506144810.jpg'],1234,101,,,1234,23
0,['./sipaimages/2/42661_20220506144828.jpg'],1234,101,,,1234,234
0,['./sipaimages/2/42662_20220506145637.jpg'],1234,101,,,51,3
0,['./sipaimages/2/42933_20220509082757.jpg'],6789,101,,,6789,6789
0,['./sipaimages/2/42935_20220509082824.jpg'],6789,101,,,131,5783
0,['./sipaimages/2/5.jpg'],3456,101,,,3456,3455
0,['./sipaimages/2/6.jpg'],6543,101,,,1,
0,['./sipaimages/2/7.jpg'],1278,101,,,,
0,['./sipaimages/2/8.jpg'],1279,101,,,1279,219
0,['./sipaimages/2/9.jpg'],2244,101,,,2244,22
0,['./sipaimages/2/1.jpg'],5679,102,4,,5679,619
0,['./sipaimages/2/10.jpg'],2244,102,,,2244,
0,['./sipaimages/2/11.jpg'],2244,102,4,,2244,2244
0,['./sipaimages/2/12.jpg'],2244,102,,,8244,2244
0,['./sipaimages/2/13.jpg'],7244,102,44,,7244,
0,['./sipaimages/2/14.jpg'],7244,102,,,7244,
0,['./sipaimages/2/15.jpg'],1234,102,,,114111,
0,['./sipaimages/2/16.jpg'],1234,102,1,,,
0,['./sipaimages/2/2.jpg'],6543,102,,,761,4
0,['./sipaimages/2/22319_20220321100350.jpg'],1234,102,1634,3,1,
0,['./sipaimages/2/22319_20220321100409.jpg'],1234,102,1234,3,611,734
0,['./sipaimages/2/22319_20220321101240.jpg'],1234,102,190,,,
0,['./sipaimages/2/22319_20220321113903.jpg'],1234,102,,,,
0,['./sipaimages/2/22319_20220321115131.jpg'],1234,102,,,11234,
0,['./sipaimages/2/22419_20220321130145.jpg'],1234,102,,,,
0,['./sipaimages/2/22420_20220321135314.jpg'],4321,102,9,,2411,
0,['./sipaimages/2/22420_20220321135751.jpg'],4321,102,,,311,
0,['./sipaimages/2/22420_20220321135814.jpg'],4321,102,,,4321,32
0,['./sipaimages/2/22420_20220321141325.jpg'],4321,102,,,121,4
0,['./sipaimages/2/22421_20220321160735.jpg'],672,102,8,2,672,672
0,['./sipaimages/2/22422_20220321161043.jpg'],674,102,,,674,
0,['./sipaimages/2/22423_20220321161435.jpg'],675,102,,,12511,515
0,['./sipaimages/2/22424_20220321162804.jpg'],678,102,,,678,578
0,['./sipaimages/2/22424_20220321162822.jpg'],678,102,,,678,678
0,['./sipaimages/2/22424_20220321162938.jpg'],678,102,,,678,578
0,['./sipaimages/2/22424_20220321162953.jpg'],678,102,,,151151,78
0,['./sipaimages/2/22424_20220321163104.jpg'],678,102,,,678,678
0,['./sipaimages/2/22424_20220321163218.jpg'],678,102,,,678,678
0,['./sipaimages/2/22424_20220321163247.jpg'],678,102,,,678,578
0,['./sipaimages/2/22424_20220321163942.jpg'],678,102,,,678,8
0,['./sipaimages/2/22424_20220321164919.jpg'],678,102,,,678,
0,['./sipaimages/2/22424_20220321165018.jpg'],678,102,,,678,8
0,['./sipaimages/2/22424_20220321165052.jpg'],678,102,,,678,5718
0,['./sipaimages/2/22424_20220321165333.jpg'],678,102,,,678,78
0,['./sipaimages/2/22424_20220321165532.jpg'],678,102,,,678,5718
0,['./sipaimages/2/22424_20220321165750.jpg'],678,102,,,678,
0,['./sipaimages/2/22424_20220321170235.jpg'],678,102,,,678,678
0,['./sipaimages/2/22424_20220321170627.jpg'],678,102,,,678,678
0,['./sipaimages/2/22424_20220321170921.jpg'],678,102,,,678,6518
0,['./sipaimages/2/22424_20220321171209.jpg'],678,102,,,678,
0,['./sipaimages/2/22424_20220321172831.jpg'],678,102,,,678,678
0,['./sipaimages/2/22425_20220321172929.jpg'],678,102,,,131151,678
0,['./sipaimages/2/22425_20220321174624.jpg'],678,102,,,1311.51,678
0,['./sipaimages/2/22425_20220321174637.jpg'],678,102,,,678,578
0,['./sipaimages/2/22425_20220321174747.jpg'],678,102,,,678,578
0,['./sipaimages/2/22425_20220321175027.jpg'],678,102,,,678,578
0,['./sipaimages/2/22425_20220321175511.jpg'],678,102,,,678,678
0,['./sipaimages/2/22425_20220321175556.jpg'],678,102,,,578,8
0,['./sipaimages/2/22425_20220321175706.jpg'],678,102,,,678,878
0,['./sipaimages/2/22425_20220321175832.jpg'],['17:58:29'],102,,,175829,5823
0,['./sipaimages/2/22426_20220322102942.jpg'],5678,102,,,4111,['..']
0,['./sipaimages/2/22427_20220321125959.jpg'],1234,102,,,,
0,['./sipaimages/2/22427_20220322105451.jpg'],5679,102,4,,5679,5619
