,index,file_name,seen_value,ncol2,ncol3,width,height,dimensions,closing_ssd,closing_eng,mro_ssd,mro_eng,sub_folder
25,25,.\sipaimages\2\22424_20220321162953.jpg,678,,,818,612,3,,,678,8,sipaimages_2
26,26,.\sipaimages\2\22424_20220321163104.jpg,678,,,818,612,3,,,678,678,sipaimages_2
27,27,.\sipaimages\2\22424_20220321163218.jpg,678,,,818,612,3,,,678,578,sipaimages_2
28,28,.\sipaimages\2\22424_20220321163247.jpg,678,,,818,612,3,,,511,58,sipaimages_2
29,29,.\sipaimages\2\22424_20220321163942.jpg,678,,,818,612,3,,,678,578,sipaimages_2
30,30,.\sipaimages\2\22424_20220321164919.jpg,678,,,818,612,3,,,678,6578,sipaimages_2
31,31,.\sipaimages\2\22424_20220321165018.jpg,678,,,818,612,3,,,351,578,sipaimages_2
32,32,.\sipaimages\2\22424_20220321165052.jpg,678,,,818,612,3,,,678,578,sipaimages_2
33,33,.\sipaimages\2\22424_20220321165333.jpg,678,,,818,612,3,,,678,78,sipaimages_2
34,34,.\sipaimages\2\22424_20220321165532.jpg,678,,,818,612,3,,,678,8,sipaimages_2
35,35,.\sipaimages\2\22424_20220321165750.jpg,678,,,818,612,3,,,13.5,,sipaimages_2
36,36,.\sipaimages\2\22424_20220321170235.jpg,678,,,818,612,3,,,678,578,sipaimages_2
37,37,.\sipaimages\2\22424_20220321170627.jpg,678,,,818,612,3,,,3.5,578,sipaimages_2
38,38,.\sipaimages\2\22424_20220321170921.jpg,678,,,818,612,3,,,6718,678,sipaimages_2
39,39,.\sipaimages\2\22424_20220321171209.jpg,678,,,818,612,3,,,678,678,sipaimages_2
40,40,.\sipaimages\2\22424_20220321172831.jpg,678,,,818,612,3,,,678,6578,sipaimages_2
41,41,.\sipaimages\2\22425_20220321172929.jpg,678,,,818,612,3,,,678,678,sipaimages_2
42,42,.\sipaimages\2\22425_20220321174624.jpg,678,,,818,612,3,,,678,678,sipaimages_2
43,43,.\sipaimages\2\22425_20220321174637.jpg,678,,,818,612,3,,,678,8,sipaimages_2
44,44,.\sipaimages\2\22425_20220321174747.jpg,678,,,818,612,3,,,6578,8,sipaimages_2
45,45,.\sipaimages\2\22425_20220321175027.jpg,678,,,818,612,3,,,678,578,sipaimages_2
46,46,.\sipaimages\2\22425_20220321175511.jpg,678,,,818,612,3,,,678,618,sipaimages_2
47,47,.\sipaimages\2\22425_20220321175556.jpg,678,,,818,612,3,,,5178,68,sipaimages_2
48,48,.\sipaimages\2\22425_20220321175706.jpg,678,,,818,612,3,,,678,6578,sipaimages_2
49,49,.\sipaimages\2\22425_20220321175832.jpg,17:58:29,,,818,612,3,1,,175829,115829,sipaimages_2
50,50,.\sipaimages\2\22426_20220322102942.jpg,5678,,,818,856,3,,,32471,,sipaimages_2
51,51,.\sipaimages\2\22427_20220321125959.jpg,1234,,,818,612,3,,,,,sipaimages_2
52,52,.\sipaimages\2\22427_20220322105451.jpg,5679,,,818,612,3,4,,21371151,619,sipaimages_2
53,53,.\sipaimages\2\22428_20220322113154.jpg,5679,,,818,612,3,,,5679,679,sipaimages_2
54,54,.\sipaimages\2\22429_20220321135659.jpg,4321,,,818,612,3,65,,,,sipaimages_2
55,55,.\sipaimages\2\22429_20220321135734.jpg,4321,,,651,1101,3,,,4211,8,sipaimages_2
56,56,.\sipaimages\2\22429_20220322102919.jpg,5678,,,818,856,3,,,5678,5578,sipaimages_2
57,57,.\sipaimages\2\22429_20220322114825.jpg,5679,,,818,612,3,333333333,,31,,sipaimages_2
58,58,.\sipaimages\2\22430_20220322115422.jpg,5679,,,818,612,3,,,,,sipaimages_2
59,59,.\sipaimages\2\22430_20220322120924.jpg,5679,,,818,612,3,,,,,sipaimages_2
60,60,.\sipaimages\2\22431_20220321173021.jpg,678,,,818,612,3,,,518,8,sipaimages_2
61,61,.\sipaimages\2\22431_20220321173649.jpg,678,,,818,612,3,,,12578,,sipaimages_2
62,62,.\sipaimages\2\22431_20220322130331.jpg,4567,,,815,611,3,,,48167,,sipaimages_2
63,63,.\sipaimages\2\22431_20220322130602.jpg,4567,,,818,612,3,,,,,sipaimages_2
64,64,.\sipaimages\2\22431_20220322130947.jpg,4567,,,818,612,3,,,,,sipaimages_2
65,65,.\sipaimages\2\22431_20220322132037.jpg,4567,,,818,612,3,,,12,,sipaimages_2
66,66,.\sipaimages\2\22432_20220321171245.jpg,678,,,818,612,3,,,678,678,sipaimages_2
67,67,.\sipaimages\2\22432_20220321171537.jpg,678,,,818,612,3,,,678,678,sipaimages_2
68,68,.\sipaimages\2\22432_20220321171700.jpg,678,,,818,612,3,,,1211151,8,sipaimages_2
69,69,.\sipaimages\2\22432_20220321171847.jpg,678,,,818,612,3,,,678,618,sipaimages_2
70,70,.\sipaimages\2\22432_20220321172236.jpg,678,,,818,612,3,,,678,678,sipaimages_2
71,71,.\sipaimages\2\22432_20220321172302.jpg,678,,,818,612,3,,,1371151,678,sipaimages_2
72,72,.\sipaimages\2\22432_20220321172428.jpg,678,,,818,612,3,,,618,,sipaimages_2
73,73,.\sipaimages\2\22432_20220321172547.jpg,678,,,818,612,3,,,678,678,sipaimages_2
74,74,.\sipaimages\2\22432_20220322132716.jpg,3456,,,818,612,3,,,,,sipaimages_2
75,75,.\sipaimages\2\22432_20220322133052.jpg,2456,,,818,612,3,,,24561,24,sipaimages_2
76,76,.\sipaimages\2\22432_20220322162557.jpg,2456,,,818,612,3,,,2456,2456,sipaimages_2
77,77,.\sipaimages\2\22432_20220322162630.jpg,2456,,,818,612,3,,,2456,2,sipaimages_2
78,78,.\sipaimages\2\22433_20220323145344.jpg,9876,,,818,612,3,2,,12975,,sipaimages_2
79,79,.\sipaimages\2\22434_20220323145632.jpg,9876,,,818,612,3,,,18875,,sipaimages_2
80,80,.\sipaimages\2\22434_20220324114526.jpg,1234,,,818,612,3,,,,,sipaimages_2
81,81,.\sipaimages\2\22434_20220324134245.jpg,1234,,,818,612,3,,,234,,sipaimages_2
82,82,.\sipaimages\2\22435_20220322120902.jpg,5675,,(partial last digit - suspected 5),818,612,3,2,,,,sipaimages_2
83,83,.\sipaimages\2\22435_20220324134938.jpg,1234,,,818,612,3,,,11111,.,sipaimages_2
84,84,.\sipaimages\2\22436_20220324135243.jpg,1233,,,818,612,3,,,12041411,4,sipaimages_2
85,85,.\sipaimages\2\22437_20220324135318.jpg,1233,,,818,612,3,,,190101,,sipaimages_2
86,86,.\sipaimages\2\22438_20220324141106.jpg,1233,,,818,612,3,,,,,sipaimages_2
87,87,.\sipaimages\2\22439_20220324143048.jpg,1633,,,818,612,3,9,4,,,sipaimages_2
88,88,.\sipaimages\2\22440_20220324143411.jpg,1634,,,818,612,3,,,,,sipaimages_2
89,89,.\sipaimages\2\22440_20220324143427.jpg,1634,,,818,612,3,,,47741111,,sipaimages_2
90,90,.\sipaimages\2\22441_20220325120457.jpg,9876,,,818,612,3,,,,,sipaimages_2
91,91,.\sipaimages\2\23029_20220326160130.jpg,1001,,,818,612,3,,,1511,,sipaimages_2
92,92,.\sipaimages\2\23030_20220326160243.jpg,1002,,,818,612,3,,,,,sipaimages_2
93,93,.\sipaimages\2\23031_20220328101115.jpg,3456,,,818,612,3,0,,,,sipaimages_2
94,94,.\sipaimages\2\23033_20220328104942.jpg,4563,,,651,1591,3,,,111,,sipaimages_2
95,95,.\sipaimages\2\23034_20220326161215.jpg,1003,,,818,612,3,,,,,sipaimages_2
96,96,.\sipaimages\2\23035_20220328101208.jpg,3457,,,818,612,3,1,,,,sipaimages_2
97,97,.\sipaimages\2\23038_20220326183516.jpg,1982,,,818,612,3,,,770111,,sipaimages_2
98,98,.\sipaimages\2\23039_20220326173036.jpg,1783,,,818,612,3,,,115151,183,sipaimages_2
99,99,.\sipaimages\2\23042_20220326183850.jpg,1984,,,818,612,3,,,315111,1984,sipaimages_2
100,100,.\sipaimages\2\23043_20220328141901.jpg,5432,,,818,612,3,,,541,,sipaimages_2
101,101,.\sipaimages\2\23046_20220326184551.jpg,1926,,,818,612,3,,,1926,1926,sipaimages_2
102,102,.\sipaimages\2\23050_20220326184912.jpg,1928,,,818,612,3,,,0001,,sipaimages_2
103,103,.\sipaimages\2\27179_20220413145802.jpg,1234,,,818,612,3,,,,,sipaimages_2
104,104,.\sipaimages\2\27207_20220413151034.jpg,1234,,,818,856,3,,,1234,234,sipaimages_2
105,105,.\sipaimages\2\27271_20220414092232.jpg,8543,,,818,612,3,,,8543,8543,sipaimages_2
106,106,.\sipaimages\2\27273_20220414104049.jpg,9876,,,818,612,3,,,9876,876,sipaimages_2
107,107,.\sipaimages\2\3.jpg,9876,,,651,856,3,,,77146,,sipaimages_2
108,108,.\sipaimages\2\4.jpg,9876,,,651,856,3,,,65,,sipaimages_2
109,109,.\sipaimages\2\42325_20220504102743.jpg,1234,,,818,612,3,,,,,sipaimages_2
110,110,.\sipaimages\2\42325_20220504102856.jpg,1234,,,818,612,3,,,,,sipaimages_2
111,111,.\sipaimages\2\42327_20220504103528.jpg,1234,,,818,612,3,,,1234,234,sipaimages_2
112,112,.\sipaimages\2\42333_20220504100651.jpg,1234,,,818,612,3,,,744.2511,1,sipaimages_2
113,113,.\sipaimages\2\42351_20220504111327.jpg,1234,,,818,612,3,,,1234,34,sipaimages_2
114,114,.\sipaimages\2\42533_20220505081840.jpg,3456,,,818,612,3,4,,,,sipaimages_2
115,115,.\sipaimages\2\42535_20220504111619.jpg,1234,,,818,612,3,,,1234,3,sipaimages_2
116,116,.\sipaimages\2\42537_20220504111652.jpg,1234,,,818,612,3,,,8871,,sipaimages_2
117,117,.\sipaimages\2\42539_20220504111717.jpg,1234,,,818,612,3,,,,,sipaimages_2
118,118,.\sipaimages\2\42539_20220504111812.jpg,1234,,,818,612,3,,,,,sipaimages_2
119,119,.\sipaimages\2\42541_20220504111842.jpg,1234,,,818,612,3,,,8,,sipaimages_2
120,120,.\sipaimages\2\42541_20220504111857.jpg,1234,,,818,612,3,,,,,sipaimages_2
121,121,.\sipaimages\2\42543_20220505082357.jpg,3456,,,980,612,3,,,341556,56,sipaimages_2
122,122,.\sipaimages\2\42545_20220505082601.jpg,1234,,,980,612,3,,,3456,3156,sipaimages_2
123,123,.\sipaimages\2\42547_20220504112915.jpg,1234,,,818,612,3,,,1234,234,sipaimages_2
124,124,.\sipaimages\2\42549_20220504112947.jpg,1234,,,818,612,3,,,1234,34,sipaimages_2
125,125,.\sipaimages\2\42549_20220504113120.jpg,1234,,,818,612,3,,,,,sipaimages_2
126,126,.\sipaimages\2\42551_20220504113256.jpg,1234,,,818,612,3,,,1234,234,sipaimages_2
127,127,.\sipaimages\2\42553_20220504113419.jpg,1234,,,818,612,3,,,1234,,sipaimages_2
128,128,.\sipaimages\2\42553_20220504113437.jpg,1234,,,818,612,3,,,,,sipaimages_2
129,129,.\sipaimages\2\42555_20220504130248.jpg,1234,,,818,612,3,,,1431,,sipaimages_2
130,130,.\sipaimages\2\42557_20220504130417.jpg,1234,,,818,612,3,,,,,sipaimages_2
131,131,.\sipaimages\2\42559_20220504130530.jpg,1234,,,818,612,3,0,,,,sipaimages_2
132,132,.\sipaimages\2\42563_20220504151622.jpg,1234,,,818,612,3,,,1234,23,sipaimages_2
133,133,.\sipaimages\2\42569_20220506135958.jpg,1234,,,818,612,3,,,1234,234,sipaimages_2
134,134,.\sipaimages\2\42571_20220506140037.jpg,1234,,,818,612,3,,,1234,234,sipaimages_2
135,135,.\sipaimages\2\42573_20220506140241.jpg,1234,,,818,612,3,,,1234,234,sipaimages_2
136,136,.\sipaimages\2\42575_20220506140321.jpg,1234,,,818,612,3,,,1234,234,sipaimages_2
137,137,.\sipaimages\2\42577_20220506140349.jpg,1234,,,818,612,3,,,1234,234,sipaimages_2
138,138,.\sipaimages\2\42583_20220506140613.jpg,1234,,,818,612,3,,,1234,1234,sipaimages_2
139,139,.\sipaimages\2\42585_20220506140705.jpg,1234,,,818,612,3,,,1234,1234,sipaimages_2
140,140,.\sipaimages\2\42596_20220506141103.jpg,1234,,,818,612,3,,,1234,3,sipaimages_2
141,141,.\sipaimages\2\42597_20220506141125.jpg,1234,,,818,612,3,,,1234,234,sipaimages_2
142,142,.\sipaimages\2\42598_20220506141152.jpg,1234,,,818,612,3,,,1234,234,sipaimages_2
143,143,.\sipaimages\2\42617_20220506141718.jpg,1234,,,818,612,3,,,1234,233,sipaimages_2
144,144,.\sipaimages\2\42618_20220506141745.jpg,1234,,,818,612,3,,,52,23,sipaimages_2
145,145,.\sipaimages\2\42619_20220506142415.jpg,1234,,,818,612,3,,,1234,234,sipaimages_2
146,146,.\sipaimages\2\42620_20220506142444.jpg,1234,,,818,612,3,,,1234,23,sipaimages_2
147,147,.\sipaimages\2\42621_20220506142843.jpg,1234,,,818,612,3,,,1234,,sipaimages_2
148,148,.\sipaimages\2\42622_20220506142904.jpg,1234,,,818,612,3,,,1234,23,sipaimages_2
149,149,.\sipaimages\2\42623_20220506143026.jpg,1234,,,818,612,3,,,1234,234,sipaimages_2
150,150,.\sipaimages\2\42624_20220506143053.jpg,1234,,,818,612,3,,,1234,123,sipaimages_2
151,151,.\sipaimages\2\42638_20220506144311.jpg,1234,,,818,612,3,,,1234,34,sipaimages_2
152,152,.\sipaimages\2\42639_20220506144337.jpg,1234,,,818,612,3,,,1234,234,sipaimages_2
153,153,.\sipaimages\2\42659_20220506144641.jpg,1234,,,818,612,3,,,1234,234,sipaimages_2
154,154,.\sipaimages\2\42659_20220506144717.jpg,1234,,,818,612,3,,,1234,34,sipaimages_2
155,155,.\sipaimages\2\42660_20220506144810.jpg,1234,,,818,612,3,,,1234,234,sipaimages_2
156,156,.\sipaimages\2\42661_20220506144828.jpg,1234,,,818,612,3,,,1234,,sipaimages_2
157,157,.\sipaimages\2\42662_20220506145637.jpg,1234,,,818,612,3,,,1234,34,sipaimages_2
158,158,.\sipaimages\2\42933_20220509082757.jpg,6789,,,818,612,3,,,6789,67189,sipaimages_2
159,159,.\sipaimages\2\42935_20220509082824.jpg,6789,,,818,612,3,,,6789,5789,sipaimages_2
160,160,.\sipaimages\2\5.jpg,3456,,,818,612,3,,,3456,3,sipaimages_2
161,161,.\sipaimages\2\6.jpg,6543,,,651,856,3,,,,,sipaimages_2
162,162,.\sipaimages\2\7.jpg,1278,,,818,612,3,,,,,sipaimages_2
163,163,.\sipaimages\2\8.jpg,1279,,,818,612,3,,,1279,219,sipaimages_2
164,164,.\sipaimages\2\9.jpg,2244,,,818,612,3,,,2244,2244,sipaimages_2
