,image_file,seen_data_numeric,size_used,closing_ssd,closing_eng,mro_ssd,mro_eng,thresh_eng,thresh_ssd
0,['.\\sipaimages\\3\\18.jpg'],30.23,51,,,31.2,3,,
0,['.\\sipaimages\\3\\19.jpg'],3.76,51,,,116,378,,
0,['.\\sipaimages\\3\\2.jpg'],30.31,51,7,,1,,,7
0,['.\\sipaimages\\3\\20.jpg'],30.23,51,,,121,,,
0,['.\\sipaimages\\3\\21.jpg'],33.99,51,,,1,4,,
0,['.\\sipaimages\\3\\22.jpg'],3.75,51,,,14,1,,
0,['.\\sipaimages\\3\\23.jpg'],30.23,51,1.5,,11.2,2,,1.5
0,['.\\sipaimages\\3\\24.jpg'],30.24,51,,,114,0,,
0,['.\\sipaimages\\3\\25.jpg'],33.99,51,2,,19,19,,2
0,['.\\sipaimages\\3\\26.jpg'],3.75,51,,,,,,
0,['.\\sipaimages\\3\\3.jpg'],13.04,51,12,,134,1304,,12
0,['.\\sipaimages\\3\\4.jpg'],13.05,51,11,,,,,11
0,['.\\sipaimages\\3\\5.jpg'],30.3,51,6,,91,,,6
0,['.\\sipaimages\\3\\6.jpg'],13.04,51,,,14,1,,
0,['.\\sipaimages\\3\\7.jpg'],13.04,51,,,144,1304,,
0,['.\\sipaimages\\3\\8.jpg'],30.31,51,7,,31,,,7
0,['.\\sipaimages\\3\\9.jpg'],13.04,51,,,14,1304,,
0,['.\\sipaimages\\3\\1.jpg'],30.31,52,7,,31,0,,7
0,['.\\sipaimages\\3\\10.jpg'],13.05,52,14,,16,1305,,14
0,['.\\sipaimages\\3\\11.jpg'],20.59,52,7,,9,28,,7
0,['.\\sipaimages\\3\\12.jpg'],13.05,52,6,,10,1305,,6
0,['.\\sipaimages\\3\\13.jpg'],30.31,52,,,31,1,,
0,['.\\sipaimages\\3\\14.jpg'],13.04,52,6.4,,1.4,1304,,6.4
0,['.\\sipaimages\\3\\15.jpg'],30.24,52,114,,0,0,,114
0,['.\\sipaimages\\3\\16.jpg'],13.04,52,,,14,1304,,
0,['.\\sipaimages\\3\\17.jpg'],13.03,52,6,['.'],113,1303,['.'],6
0,['.\\sipaimages\\3\\18.jpg'],30.23,52,,,1.3,,,
0,['.\\sipaimages\\3\\19.jpg'],3.76,52,,,116,376,,
0,['.\\sipaimages\\3\\2.jpg'],30.31,52,7,,131,23,,7
0,['.\\sipaimages\\3\\20.jpg'],30.23,52,1,,12,,,1
0,['.\\sipaimages\\3\\21.jpg'],33.99,52,,,11,,,
0,['.\\sipaimages\\3\\22.jpg'],3.75,52,,,1,,,
0,['.\\sipaimages\\3\\23.jpg'],30.23,52,144,['.'],1.3,,['.'],144
0,['.\\sipaimages\\3\\24.jpg'],30.24,52,14,,114,0,,14
0,['.\\sipaimages\\3\\25.jpg'],33.99,52,11,,,,,11
0,['.\\sipaimages\\3\\26.jpg'],3.75,52,,,316,3,,
0,['.\\sipaimages\\3\\3.jpg'],13.04,52,1,,144,1304,,1
0,['.\\sipaimages\\3\\4.jpg'],13.05,52,1,,,,,1
0,['.\\sipaimages\\3\\5.jpg'],30.3,52,71,,1,,,71
0,['.\\sipaimages\\3\\6.jpg'],13.04,52,0,,164,1,,0
0,['.\\sipaimages\\3\\7.jpg'],13.04,52,,,14,130,,
0,['.\\sipaimages\\3\\8.jpg'],30.31,52,7,,11,2,,7
0,['.\\sipaimages\\3\\9.jpg'],13.04,52,,,14,1304,,
0,['.\\sipaimages\\3\\1.jpg'],30.31,53,7,,11,['.'],,7
0,['.\\sipaimages\\3\\10.jpg'],13.05,53,6,,136,1345,,6
0,['.\\sipaimages\\3\\11.jpg'],20.59,53,7,,9,2,,7
0,['.\\sipaimages\\3\\12.jpg'],13.05,53,11,,10,1305,,11
0,['.\\sipaimages\\3\\13.jpg'],30.31,53,,,931,31,,
0,['.\\sipaimages\\3\\14.jpg'],13.04,53,12,,1.4,134,,12
0,['.\\sipaimages\\3\\15.jpg'],30.24,53,114,,1,0,,114
0,['.\\sipaimages\\3\\16.jpg'],13.04,53,1,,104,1304,,1
0,['.\\sipaimages\\3\\17.jpg'],13.03,53,1.0,,133,1303,,1.0
0,['.\\sipaimages\\3\\18.jpg'],30.23,53,6,['.'],1.23,,['.'],6
0,['.\\sipaimages\\3\\19.jpg'],3.76,53,,,1.16,376,,
0,['.\\sipaimages\\3\\2.jpg'],30.31,53,71,,1,3,,71
0,['.\\sipaimages\\3\\20.jpg'],30.23,53,,,121,,,
0,['.\\sipaimages\\3\\21.jpg'],33.99,53,,,10,,,
0,['.\\sipaimages\\3\\22.jpg'],3.75,53,,,1,1,,
0,['.\\sipaimages\\3\\23.jpg'],30.23,53,,,11.1,2,,
0,['.\\sipaimages\\3\\24.jpg'],30.24,53,2,['.'],114,0,['.'],2
0,['.\\sipaimages\\3\\25.jpg'],33.99,53,1141,,1,9,,1141
0,['.\\sipaimages\\3\\26.jpg'],3.75,53,,,316,3,,
0,['.\\sipaimages\\3\\3.jpg'],13.04,53,,,134,,,
0,['.\\sipaimages\\3\\4.jpg'],13.05,53,1,,,,,1
0,['.\\sipaimages\\3\\5.jpg'],30.3,53,7,,99,5,,7
0,['.\\sipaimages\\3\\6.jpg'],13.04,53,14,,14,104,,14
0,['.\\sipaimages\\3\\7.jpg'],13.04,53,,,144,134,,
0,['.\\sipaimages\\3\\8.jpg'],30.31,53,7,,1,3,,7
0,['.\\sipaimages\\3\\9.jpg'],13.04,53,18,,14,134,,18
0,['.\\sipaimages\\3\\1.jpg'],30.31,54,7,,31,3,,7
0,['.\\sipaimages\\3\\10.jpg'],13.05,54,,,16,135,,
0,['.\\sipaimages\\3\\11.jpg'],20.59,54,1,,17,8,,1
0,['.\\sipaimages\\3\\12.jpg'],13.05,54,62,,10,1305,,62
0,['.\\sipaimages\\3\\13.jpg'],30.31,54,,,1,24,,
0,['.\\sipaimages\\3\\14.jpg'],13.04,54,1.2,['.'],14,134,['.'],1.2
0,['.\\sipaimages\\3\\15.jpg'],30.24,54,14,,1,0,,14
0,['.\\sipaimages\\3\\16.jpg'],13.04,54,,,104,130,,
0,['.\\sipaimages\\3\\17.jpg'],13.03,54,,,13,1303,,
0,['.\\sipaimages\\3\\18.jpg'],30.23,54,,,41,,,
0,['.\\sipaimages\\3\\19.jpg'],3.76,54,,,11,376,,
0,['.\\sipaimages\\3\\2.jpg'],30.31,54,7,,31,,,7
0,['.\\sipaimages\\3\\20.jpg'],30.23,54,,,421,42,,
0,['.\\sipaimages\\3\\21.jpg'],33.99,54,,,1,,,
0,['.\\sipaimages\\3\\22.jpg'],3.75,54,,,15,4,,
0,['.\\sipaimages\\3\\23.jpg'],30.23,54,,,14,0.2,,
0,['.\\sipaimages\\3\\24.jpg'],30.24,54,162,,114,,,162
0,['.\\sipaimages\\3\\25.jpg'],33.99,54,11,,9,49,,11
0,['.\\sipaimages\\3\\26.jpg'],3.75,54,,,,,,
0,['.\\sipaimages\\3\\3.jpg'],13.04,54,,,134,130,,
0,['.\\sipaimages\\3\\4.jpg'],13.05,54,711,,,,,711
0,['.\\sipaimages\\3\\5.jpg'],30.3,54,1,,11,5,,1
0,['.\\sipaimages\\3\\6.jpg'],13.04,54,14,,1,4,,14
0,['.\\sipaimages\\3\\7.jpg'],13.04,54,,,104,1304,,
0,['.\\sipaimages\\3\\8.jpg'],30.31,54,7,,31,3,,7
0,['.\\sipaimages\\3\\9.jpg'],13.04,54,,,1.4,1304,,
0,['.\\sipaimages\\3\\1.jpg'],30.31,55,71,,31,3,,71
0,['.\\sipaimages\\3\\10.jpg'],13.05,55,114,,146,1345,,114
0,['.\\sipaimages\\3\\11.jpg'],20.59,55,,,617,0,,
0,['.\\sipaimages\\3\\12.jpg'],13.05,55,16,['..'],10,1305,['..'],16
0,['.\\sipaimages\\3\\13.jpg'],30.31,55,,,301,3,,
0,['.\\sipaimages\\3\\14.jpg'],13.04,55,,,134,1304,,
0,['.\\sipaimages\\3\\15.jpg'],30.24,55,14,,11,7,,14
0,['.\\sipaimages\\3\\16.jpg'],13.04,55,,,14,1304,,
0,['.\\sipaimages\\3\\17.jpg'],13.03,55,14,,143,1303,,14
0,['.\\sipaimages\\3\\18.jpg'],30.23,55,,,41,,,
0,['.\\sipaimages\\3\\19.jpg'],3.76,55,,,118,376,,
0,['.\\sipaimages\\3\\2.jpg'],30.31,55,7,,31,3,,7
0,['.\\sipaimages\\3\\20.jpg'],30.23,55,,,41,,,
0,['.\\sipaimages\\3\\21.jpg'],33.99,55,,,191,,,
0,['.\\sipaimages\\3\\22.jpg'],3.75,55,,,19,4,,
0,['.\\sipaimages\\3\\23.jpg'],30.23,55,,,10.27,3022,,
0,['.\\sipaimages\\3\\24.jpg'],30.24,55,,,114,0,,
0,['.\\sipaimages\\3\\25.jpg'],33.99,55,141,,1,19,,141
0,['.\\sipaimages\\3\\26.jpg'],3.75,55,,,,,,
0,['.\\sipaimages\\3\\3.jpg'],13.04,55,,,134,130,,
0,['.\\sipaimages\\3\\4.jpg'],13.05,55,1,,,,,1
0,['.\\sipaimages\\3\\5.jpg'],30.3,55,16,,1,,,16
0,['.\\sipaimages\\3\\6.jpg'],13.04,55,2,,,,,2
0,['.\\sipaimages\\3\\7.jpg'],13.04,55,,,134,1304,,
0,['.\\sipaimages\\3\\8.jpg'],30.31,55,7,,31,,,7
0,['.\\sipaimages\\3\\9.jpg'],13.04,55,,,1.4,134,,
0,['.\\sipaimages\\3\\1.jpg'],30.31,56,71,,31,,,71
0,['.\\sipaimages\\3\\10.jpg'],13.05,56,,,1348,1308,,
0,['.\\sipaimages\\3\\11.jpg'],20.59,56,7,,9,5,,7
0,['.\\sipaimages\\3\\12.jpg'],13.05,56,,,14,1305,,
0,['.\\sipaimages\\3\\13.jpg'],30.31,56,,,1,0,,
0,['.\\sipaimages\\3\\14.jpg'],13.04,56,162,,1.4,1304,,162
0,['.\\sipaimages\\3\\15.jpg'],30.24,56,114,,4,2,,114
0,['.\\sipaimages\\3\\16.jpg'],13.04,56,,,144,1304,,
0,['.\\sipaimages\\3\\17.jpg'],13.03,56,16.0,,113,1303,,16.0
0,['.\\sipaimages\\3\\18.jpg'],30.23,56,,,31.1,,,
0,['.\\sipaimages\\3\\19.jpg'],3.76,56,,,11,376,,
0,['.\\sipaimages\\3\\2.jpg'],30.31,56,7,,331,3,,7
0,['.\\sipaimages\\3\\20.jpg'],30.23,56,,,12,,,
0,['.\\sipaimages\\3\\21.jpg'],33.99,56,,,11,,,
0,['.\\sipaimages\\3\\22.jpg'],3.75,56,,,16,375,,
0,['.\\sipaimages\\3\\23.jpg'],30.23,56,,,4,2,,
0,['.\\sipaimages\\3\\24.jpg'],30.24,56,,,114,0,,
0,['.\\sipaimages\\3\\25.jpg'],33.99,56,11,,9,19,,11
0,['.\\sipaimages\\3\\26.jpg'],3.75,56,,,,,,
0,['.\\sipaimages\\3\\3.jpg'],13.04,56,,,1304,1304,,
0,['.\\sipaimages\\3\\4.jpg'],13.05,56,71,,,,,71
0,['.\\sipaimages\\3\\5.jpg'],30.3,56,1,,9,,,1
0,['.\\sipaimages\\3\\6.jpg'],13.04,56,74,,,,,74
0,['.\\sipaimages\\3\\7.jpg'],13.04,56,,,14,1304,,
0,['.\\sipaimages\\3\\8.jpg'],30.31,56,7,,331,3,,7
0,['.\\sipaimages\\3\\9.jpg'],13.04,56,,,14,134,,
0,['.\\sipaimages\\3\\1.jpg'],30.31,57,7,,31,3,,7
0,['.\\sipaimages\\3\\10.jpg'],13.05,57,,,108,1305,,
0,['.\\sipaimages\\3\\11.jpg'],20.59,57,0,,9,28,,0
0,['.\\sipaimages\\3\\12.jpg'],13.05,57,,,10,1305,,
0,['.\\sipaimages\\3\\13.jpg'],30.31,57,,,31,0,,
0,['.\\sipaimages\\3\\14.jpg'],13.04,57,,,114,13,,
0,['.\\sipaimages\\3\\15.jpg'],30.24,57,114,,4,0,,114
0,['.\\sipaimages\\3\\16.jpg'],13.04,57,1,['.'],14,1304,['.'],1
0,['.\\sipaimages\\3\\17.jpg'],13.03,57,,,113,1303,,
0,['.\\sipaimages\\3\\18.jpg'],30.23,57,,,4,,,
0,['.\\sipaimages\\3\\19.jpg'],3.76,57,,,118,376,,
0,['.\\sipaimages\\3\\2.jpg'],30.31,57,1,,331,3,,1
0,['.\\sipaimages\\3\\20.jpg'],30.23,57,14,,1141,0,,14
0,['.\\sipaimages\\3\\21.jpg'],33.99,57,,,64,,,
0,['.\\sipaimages\\3\\22.jpg'],3.75,57,,,15,5,,
0,['.\\sipaimages\\3\\23.jpg'],30.23,57,,,4,2,,
0,['.\\sipaimages\\3\\24.jpg'],30.24,57,,,114,0,,
0,['.\\sipaimages\\3\\25.jpg'],33.99,57,14,,9,19,,14
0,['.\\sipaimages\\3\\26.jpg'],3.75,57,,,,,,
0,['.\\sipaimages\\3\\3.jpg'],13.04,57,,,134,1304,,
0,['.\\sipaimages\\3\\4.jpg'],13.05,57,1,,,,,1
0,['.\\sipaimages\\3\\5.jpg'],30.3,57,1,,11,5,,1
0,['.\\sipaimages\\3\\6.jpg'],13.04,57,0,,11,4,,0
0,['.\\sipaimages\\3\\7.jpg'],13.04,57,,,1344,1304,,
0,['.\\sipaimages\\3\\8.jpg'],30.31,57,16.0,,31,0,,16.0
0,['.\\sipaimages\\3\\9.jpg'],13.04,57,41414,['.'],14,1304,['.'],41414
0,['.\\sipaimages\\3\\1.jpg'],30.31,58,7,,1,,,7
0,['.\\sipaimages\\3\\10.jpg'],13.05,58,,,108,1305,,
0,['.\\sipaimages\\3\\11.jpg'],20.59,58,,,1,2,,
0,['.\\sipaimages\\3\\12.jpg'],13.05,58,,,108,1805,,
0,['.\\sipaimages\\3\\13.jpg'],30.31,58,,,31,,,
0,['.\\sipaimages\\3\\14.jpg'],13.04,58,,,14,134,,
0,['.\\sipaimages\\3\\15.jpg'],30.24,58,,,1,0,,
0,['.\\sipaimages\\3\\16.jpg'],13.04,58,,,14,1304,,
0,['.\\sipaimages\\3\\17.jpg'],13.03,58,,,113,1303,,
0,['.\\sipaimages\\3\\18.jpg'],30.23,58,,,9.13,,,
0,['.\\sipaimages\\3\\19.jpg'],3.76,58,,,11,36,,
0,['.\\sipaimages\\3\\2.jpg'],30.31,58,7,,31,3,,7
0,['.\\sipaimages\\3\\20.jpg'],30.23,58,144,,141,12,,144
0,['.\\sipaimages\\3\\21.jpg'],33.99,58,,,1,,,
0,['.\\sipaimages\\3\\22.jpg'],3.75,58,,,16,5,,
0,['.\\sipaimages\\3\\23.jpg'],30.23,58,,,4,2,,
0,['.\\sipaimages\\3\\24.jpg'],30.24,58,,,114,0,,
0,['.\\sipaimages\\3\\25.jpg'],33.99,58,14,,19,19,,14
0,['.\\sipaimages\\3\\26.jpg'],3.75,58,,,316,,,
0,['.\\sipaimages\\3\\3.jpg'],13.04,58,11019,,1304,1304,,11019
0,['.\\sipaimages\\3\\4.jpg'],13.05,58,741,,,,,741
0,['.\\sipaimages\\3\\5.jpg'],30.3,58,6,,101,5,,6
0,['.\\sipaimages\\3\\6.jpg'],13.04,58,14,,10,0,,14
0,['.\\sipaimages\\3\\7.jpg'],13.04,58,,,14,1304,,
0,['.\\sipaimages\\3\\8.jpg'],30.31,58,1,,11,,,1
0,['.\\sipaimages\\3\\9.jpg'],13.04,58,1111513,,1.4,1304,,1111513
0,['.\\sipaimages\\3\\1.jpg'],30.31,59,7,,31,3,,7
0,['.\\sipaimages\\3\\10.jpg'],13.05,59,14,['..'],108,1305,['..'],14
0,['.\\sipaimages\\3\\11.jpg'],20.59,59,,,19,2,,
0,['.\\sipaimages\\3\\12.jpg'],13.05,59,,,106,1305,,
0,['.\\sipaimages\\3\\13.jpg'],30.31,59,,,301,3,,
0,['.\\sipaimages\\3\\14.jpg'],13.04,59,,,14,134,,
0,['.\\sipaimages\\3\\15.jpg'],30.24,59,144,,14,2,,144
0,['.\\sipaimages\\3\\16.jpg'],13.04,59,,,14,1304,,
0,['.\\sipaimages\\3\\17.jpg'],13.03,59,16,,113,1303,,16
0,['.\\sipaimages\\3\\18.jpg'],30.23,59,,,141,,,
0,['.\\sipaimages\\3\\19.jpg'],3.76,59,,,111,376,,
0,['.\\sipaimages\\3\\2.jpg'],30.31,59,,,31,2,,
0,['.\\sipaimages\\3\\20.jpg'],30.23,59,14,,121,12,,14
0,['.\\sipaimages\\3\\21.jpg'],33.99,59,0,,10,,,0
0,['.\\sipaimages\\3\\22.jpg'],3.75,59,,,1,375,,
0,['.\\sipaimages\\3\\23.jpg'],30.23,59,,,4,2,,
0,['.\\sipaimages\\3\\24.jpg'],30.24,59,,,114,10,,
0,['.\\sipaimages\\3\\25.jpg'],33.99,59,161,,19,19,,161
0,['.\\sipaimages\\3\\26.jpg'],3.75,59,,,,,,
0,['.\\sipaimages\\3\\3.jpg'],13.04,59,,,134,1304,,
0,['.\\sipaimages\\3\\4.jpg'],13.05,59,11,,,,,11
0,['.\\sipaimages\\3\\5.jpg'],30.3,59,1,,1,,,1
0,['.\\sipaimages\\3\\6.jpg'],13.04,59,,,14,0,,
0,['.\\sipaimages\\3\\7.jpg'],13.04,59,,,14,1304,,
0,['.\\sipaimages\\3\\8.jpg'],30.31,59,7,,11,3,,7
0,['.\\sipaimages\\3\\9.jpg'],13.04,59,,,1.4,1304,,
0,['.\\sipaimages\\3\\1.jpg'],30.31,60,,,131,,,
0,['.\\sipaimages\\3\\10.jpg'],13.05,60,,,108,1305,,
0,['.\\sipaimages\\3\\11.jpg'],20.59,60,,,107,0,,
0,['.\\sipaimages\\3\\12.jpg'],13.05,60,,,14,1305,,
0,['.\\sipaimages\\3\\13.jpg'],30.31,60,,,31,4,,
0,['.\\sipaimages\\3\\14.jpg'],13.04,60,,,13.4,1304,,
0,['.\\sipaimages\\3\\15.jpg'],30.24,60,14,,14,0,,14
0,['.\\sipaimages\\3\\16.jpg'],13.04,60,,,14,130,,
0,['.\\sipaimages\\3\\17.jpg'],13.03,60,,,13,1303,,
0,['.\\sipaimages\\3\\18.jpg'],30.23,60,,,10.23,4,,
0,['.\\sipaimages\\3\\19.jpg'],3.76,60,,,78,37,,
0,['.\\sipaimages\\3\\2.jpg'],30.31,60,7,,331,3,,7
0,['.\\sipaimages\\3\\20.jpg'],30.23,60,,,41,,,
0,['.\\sipaimages\\3\\21.jpg'],33.99,60,15,,190,,,15
0,['.\\sipaimages\\3\\22.jpg'],3.75,60,,,19,5,,
0,['.\\sipaimages\\3\\23.jpg'],30.23,60,,,114,2,,
0,['.\\sipaimages\\3\\24.jpg'],30.24,60,,,114,0,,
0,['.\\sipaimages\\3\\25.jpg'],33.99,60,162,,1,19,,162
0,['.\\sipaimages\\3\\26.jpg'],3.75,60,,,,,,
0,['.\\sipaimages\\3\\3.jpg'],13.04,60,11114,,134,1304,,11114
0,['.\\sipaimages\\3\\4.jpg'],13.05,60,5,,,,,5
0,['.\\sipaimages\\3\\5.jpg'],30.3,60,7,,1,,,7
0,['.\\sipaimages\\3\\6.jpg'],13.04,60,,,11,104,,
0,['.\\sipaimages\\3\\7.jpg'],13.04,60,,,1344,1304,,
0,['.\\sipaimages\\3\\8.jpg'],30.31,60,,,11,3,,
0,['.\\sipaimages\\3\\9.jpg'],13.04,60,,,14,134,,
0,['.\\sipaimages\\3\\1.jpg'],30.31,61,,,131,3,,
0,['.\\sipaimages\\3\\10.jpg'],13.05,61,165,,108,1305,,165
0,['.\\sipaimages\\3\\11.jpg'],20.59,61,,,117,0,,
0,['.\\sipaimages\\3\\12.jpg'],13.05,61,,,10,1305,,
0,['.\\sipaimages\\3\\13.jpg'],30.31,61,,,91,3,,
0,['.\\sipaimages\\3\\14.jpg'],13.04,61,,,1.4,134,,
0,['.\\sipaimages\\3\\15.jpg'],30.24,61,114,,1,0,,114
0,['.\\sipaimages\\3\\16.jpg'],13.04,61,,,14,1304,,
0,['.\\sipaimages\\3\\17.jpg'],13.03,61,,,143,1303,,
0,['.\\sipaimages\\3\\18.jpg'],30.23,61,,,41,8,,
0,['.\\sipaimages\\3\\19.jpg'],3.76,61,,,111,376,,
0,['.\\sipaimages\\3\\2.jpg'],30.31,61,,,31,3,,
0,['.\\sipaimages\\3\\20.jpg'],30.23,61,14,['..'],141,,['..'],14
0,['.\\sipaimages\\3\\21.jpg'],33.99,61,,,44,1,,
0,['.\\sipaimages\\3\\22.jpg'],3.75,61,,,16,75,,
0,['.\\sipaimages\\3\\23.jpg'],30.23,61,,,1.21,0.2,,
0,['.\\sipaimages\\3\\24.jpg'],30.24,61,,,114,0,,
0,['.\\sipaimages\\3\\25.jpg'],33.99,61,14,,1,1,,14
0,['.\\sipaimages\\3\\26.jpg'],3.75,61,,,,,,
0,['.\\sipaimages\\3\\3.jpg'],13.04,61,,,134,1304,,
0,['.\\sipaimages\\3\\4.jpg'],13.05,61,1,,1,1305,,1
0,['.\\sipaimages\\3\\5.jpg'],30.3,61,6,,11,,,6
0,['.\\sipaimages\\3\\6.jpg'],13.04,61,,,10,0,,
0,['.\\sipaimages\\3\\7.jpg'],13.04,61,,,134,1304,,
0,['.\\sipaimages\\3\\8.jpg'],30.31,61,,,11,0,,
0,['.\\sipaimages\\3\\9.jpg'],13.04,61,,,14,1304,,
0,['.\\sipaimages\\3\\1.jpg'],30.31,62,7,,111,3,,7
0,['.\\sipaimages\\3\\10.jpg'],13.05,62,,,18,1305,,
0,['.\\sipaimages\\3\\11.jpg'],20.59,62,18,,1,0,,18
0,['.\\sipaimages\\3\\12.jpg'],13.05,62,,,14,1305,,
0,['.\\sipaimages\\3\\13.jpg'],30.31,62,,,1,3,,
0,['.\\sipaimages\\3\\14.jpg'],13.04,62,,,1.4,1304,,
0,['.\\sipaimages\\3\\15.jpg'],30.24,62,,,10,0,,
0,['.\\sipaimages\\3\\16.jpg'],13.04,62,,,14,1304,,
0,['.\\sipaimages\\3\\17.jpg'],13.03,62,,,113,1303,,
0,['.\\sipaimages\\3\\18.jpg'],30.23,62,,,41,3,,
0,['.\\sipaimages\\3\\19.jpg'],3.76,62,,,16,376,,
0,['.\\sipaimages\\3\\2.jpg'],30.31,62,,,31,3,,
0,['.\\sipaimages\\3\\20.jpg'],30.23,62,,,141,2,,
0,['.\\sipaimages\\3\\21.jpg'],33.99,62,,,44,,,
0,['.\\sipaimages\\3\\22.jpg'],3.75,62,,,15,35,,
0,['.\\sipaimages\\3\\23.jpg'],30.23,62,,,1.27,3022,,
0,['.\\sipaimages\\3\\24.jpg'],30.24,62,,,114,0,,
0,['.\\sipaimages\\3\\25.jpg'],33.99,62,,,1,19,,
0,['.\\sipaimages\\3\\26.jpg'],3.75,62,,,,,,
0,['.\\sipaimages\\3\\3.jpg'],13.04,62,119,4.0,1304,1304,4.0,119
0,['.\\sipaimages\\3\\4.jpg'],13.05,62,1,,15,1305,,1
0,['.\\sipaimages\\3\\5.jpg'],30.3,62,,,11,0,,
0,['.\\sipaimages\\3\\6.jpg'],13.04,62,,,1,4,,
0,['.\\sipaimages\\3\\7.jpg'],13.04,62,,,1304,1304,,
0,['.\\sipaimages\\3\\8.jpg'],30.31,62,7,,101,3,,7
0,['.\\sipaimages\\3\\9.jpg'],13.04,62,,,14,1304,,
0,['.\\sipaimages\\3\\1.jpg'],30.31,63,,,131,,,
0,['.\\sipaimages\\3\\10.jpg'],13.05,63,,,146,1308,,
0,['.\\sipaimages\\3\\11.jpg'],20.59,63,3811897,,109,0,,3811897
0,['.\\sipaimages\\3\\12.jpg'],13.05,63,,,10,1305,,
0,['.\\sipaimages\\3\\13.jpg'],30.31,63,,,1,0,,
0,['.\\sipaimages\\3\\14.jpg'],13.04,63,,,1.4,134,,
0,['.\\sipaimages\\3\\15.jpg'],30.24,63,2,,4,0,,2
0,['.\\sipaimages\\3\\16.jpg'],13.04,63,,,14,1304,,
0,['.\\sipaimages\\3\\17.jpg'],13.03,63,1111111,['.'],13,1303,['.'],1111111
0,['.\\sipaimages\\3\\18.jpg'],30.23,63,,,109,4,,
0,['.\\sipaimages\\3\\19.jpg'],3.76,63,,,3.16,376,,
0,['.\\sipaimages\\3\\2.jpg'],30.31,63,,,131,3,,
0,['.\\sipaimages\\3\\20.jpg'],30.23,63,,,141,,,
0,['.\\sipaimages\\3\\21.jpg'],33.99,63,8,,11,1,,8
0,['.\\sipaimages\\3\\22.jpg'],3.75,63,,,16,475,,
0,['.\\sipaimages\\3\\23.jpg'],30.23,63,,,10.27,3022,,
0,['.\\sipaimages\\3\\24.jpg'],30.24,63,,,114,0,,
0,['.\\sipaimages\\3\\25.jpg'],33.99,63,,,1,19,,
0,['.\\sipaimages\\3\\26.jpg'],3.75,63,,,916,35,,
0,['.\\sipaimages\\3\\3.jpg'],13.04,63,111119,,1.04,1304,,111119
0,['.\\sipaimages\\3\\4.jpg'],13.05,63,741111,['.'],,,['.'],741111
0,['.\\sipaimages\\3\\5.jpg'],30.3,63,7,,11,,,7
